name,method,slope,score,strain,inconclusive
PF01CP1,inflection,131.89593309060967,0.2356234147861679,0.0779,FALSE
PF01CP2,inflection,165.08644504242704,0.3139326190318578,0.0434,FALSE
PF01CP3,fds,76.09402569746541,0.17744156143850962,0.037700000000000004,FALSE
PF01CP4,fds,151.743224239382,0.2912750663007973,0.054200000000000005,FALSE
PF01LT1,inflection,43.27426831529172,0.3370479272170741,0.08220000000000001,FALSE
PF01MT1,fds,103.9520443568693,0.2857341832088173,0.0761,FALSE
PF01MT2,inflection,172.0718126504868,0.4542391941333159,0.0533,FALSE
PF01MT3,fds,121.79281492244473,0.27326286624175883,0.0873,FALSE
PF01UT1,inflection,191.7661392687973,0.4454358055384552,0.0438,FALSE
PF01UT2,fds,146.6796954193684,0.29795534396125306,0.098,FALSE
PF01UT3,inflection,218.39210116171017,0.4970941387815708,0.0465,FALSE
PF01UT4,fds,143.5068385147279,0.27298849261480057,0.053000000000000005,FALSE
PF02CP1,inflection,83.12179352276523,0.3348958511500087,0.1278,FALSE
PF02CP2,inflection,146.80592046224544,0.370163828057346,0.060500000000000005,FALSE
PF02LT1,fds,155.99315530700542,0.39425816837380306,0.045000000000000005,FALSE
PF02LT2,fds,137.27870738516066,0.4161872896520221,0.0495,FALSE
PF02LT3,inflection,155.55286408581497,0.43920392286757787,0.0408,FALSE
PF02MT1,fds,101.19258068417346,0.5384473788137061,0.0558,FALSE
PF02MT2,fds,97.36379618443112,0.31493964853119166,0.0546,FALSE
PF02MT3,fds,146.52209729040234,0.1991112717303256,0.0658,FALSE
PF02MT4,fds,187.05282977237118,0.5515202724100934,0.032600000000000004,FALSE
PF02UT1,inflection,215.3394869929544,0.3534543621724894,0.08,FALSE
PF02UT2,inflection,197.85134296205712,0.3899382561754621,0.0703,FALSE
PF02UT3,max,422.8117089311761,0.7880510449656428,0.1587,TRUE
PF02UT4,fds,156.5995369797432,0.3217424203562987,0.1318,FALSE
PF03CP1,fds,155.00751443891937,0.3765734903294393,0.0373,FALSE
PF03CP2,fds,158.6768227844863,0.31948994386681745,0.0533,FALSE
PF03CP3,inflection,144.1340474855645,0.2603917231601516,0.037700000000000004,FALSE
PF03CP4,fds,145.5389096106874,0.17480505565390275,0.034300000000000004,FALSE
PF03LT1,inflection,93.0353235908285,0.3823605598876385,0.0262,FALSE
PF03LT2,inflection,59.10818892902562,0.42061969743929434,0.038200000000000005,FALSE
PF03LT3,fds,145.48882613663966,0.5308564152980549,0.0475,FALSE
PF03MT1,inflection,51.636451451341706,0.4922572092736061,0.0264,FALSE
PF03MT2,fds,143.00684713554313,0.5658320540346923,0.053500000000000006,FALSE
PF03MT3,fds,78.6314409843605,0.25252922610398215,0.020300000000000002,FALSE
PF03UT1,max,127.91219751307074,0.4422484939840808,0.09480000000000001,FALSE
PF03UT2,max,117.19248679249547,0.4399435710143596,0.0942,FALSE
PF03UT3,fds,178.38645051582387,0.15565267362121757,0.0882,FALSE
PF04CP1,fds,168.79463765899635,0.3504268630047048,0.0344,FALSE
PF04CP2,fds,177.416261379494,0.4245198720333253,0.0545,FALSE
PF04CP3,inflection,110.42237789989615,0.336601666374935,0.07490000000000001,FALSE
PF04LT1,fds,98.2799501239414,0.5478352087875814,0.0357,FALSE
PF04MT1,inflection,155.22829138236278,0.5124323186300173,0.0482,FALSE
PF04MT2,fds,135.2870801631377,0.5100245274627845,0.0324,FALSE
PF04UT1,inflection,96.43717744607726,0.21314270055817428,0.1077,FALSE
PF04UT2,max,112.12040806838216,0.2882594072592991,0.157,FALSE
PF04UT3,max,131.24840434996702,0.3198441292030051,0.16190000000000002,FALSE
PF05CP1,max,110.11443791853736,0.26877471365677824,0.10700000000000001,FALSE
PF05CP2,fds,147.61629972280332,0.3598698222843903,0.0492,FALSE
