sep=	
pf11mt02

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.2	0.00	0.000	0.02	0.0
2	0.2	0.00	0.004	0.02	0.0
3	0.0	0.00	0.008	0.00	0.0
4	0.2	0.00	0.012	0.02	0.0
5	0.2	0.00	0.016	0.02	0.0
6	0.0	0.00	0.020	0.00	0.0
7	0.2	0.00	0.024	0.02	0.0
8	0.2	0.00	0.028	0.02	0.0
9	0.0	0.00	0.032	0.00	0.0
10	0.2	0.00	0.036	0.02	0.0
11	0.2	0.00	0.040	0.02	0.0
12	0.2	0.00	0.044	0.02	0.0
13	0.2	0.00	0.048	0.02	0.0
14	0.2	0.00	0.052	0.02	0.0
15	0.2	0.00	0.056	0.02	0.0
16	0.2	0.00	0.060	0.02	0.0
17	0.0	0.00	0.064	0.00	0.0
18	0.2	0.00	0.068	0.02	0.0
19	0.2	0.00	0.072	0.02	0.0
20	0.2	0.00	0.076	0.02	0.0
21	0.2	0.00	0.080	0.02	0.0
22	0.4	0.00	0.084	0.06	0.0
23	0.4	0.00	0.088	0.06	0.0
24	0.2	0.00	0.092	0.02	0.0
25	0.4	0.00	0.096	0.06	0.0
26	0.2	0.00	0.100	0.02	0.0
27	0.0	0.00	0.104	0.00	0.0
28	0.2	0.00	0.108	0.02	0.0
29	0.4	0.00	0.112	0.06	0.0
30	0.0	0.00	0.116	0.00	0.0
31	0.2	0.00	0.120	0.02	0.0
32	0.0	0.00	0.124	0.00	0.0
33	0.2	0.00	0.128	0.02	0.0
34	0.0	0.00	0.132	0.00	0.0
35	0.2	0.00	0.136	0.02	0.0
36	0.0	0.00	0.140	0.00	0.0
37	0.2	0.00	0.144	0.02	0.0
38	0.2	0.00	0.148	0.02	0.0
39	0.2	0.00	0.152	0.02	0.0
40	0.2	0.00	0.156	0.02	0.0
41	0.4	0.00	0.160	0.06	0.0
42	0.2	0.00	0.164	0.02	0.0
43	0.4	0.00	0.168	0.06	0.0
44	0.2	0.00	0.172	0.02	0.0
45	0.0	0.00	0.176	0.00	0.0
46	0.2	0.00	0.180	0.02	0.0
47	0.2	0.00	0.184	0.02	0.0
48	0.2	0.00	0.188	0.02	0.0
49	0.2	0.00	0.192	0.02	0.0
50	0.2	-0.01	0.196	0.02	0.4
51	0.2	-0.02	0.200	0.02	0.6
52	0.2	-0.03	0.204	0.02	1.0
53	0.2	-0.03	0.208	0.02	1.0
54	0.0	-0.04	0.212	0.00	1.2
55	0.0	-0.05	0.216	0.00	1.6
56	0.2	-0.06	0.220	0.02	2.0
57	0.2	-0.06	0.224	0.02	2.0
58	0.4	-0.07	0.228	0.06	2.2
59	0.4	-0.08	0.232	0.06	2.6
60	0.2	-0.08	0.236	0.02	2.6
61	0.2	-0.09	0.240	0.02	3.0
62	0.2	-0.10	0.244	0.02	3.2
63	0.2	-0.11	0.248	0.02	3.6
64	0.2	-0.11	0.252	0.02	3.6
65	0.2	-0.12	0.256	0.02	3.8
66	0.2	-0.13	0.260	0.02	4.2
67	0.2	-0.13	0.264	0.02	4.2
68	0.2	-0.14	0.268	0.02	4.6
69	0.2	-0.15	0.272	0.02	4.8
70	0.2	-0.15	0.276	0.02	4.8
71	0.2	-0.16	0.280	0.02	5.2
72	0.2	-0.17	0.284	0.02	5.6
73	0.4	-0.18	0.288	0.06	5.8
74	0.4	-0.18	0.292	0.06	5.8
75	0.2	-0.19	0.296	0.02	6.2
76	0.2	-0.20	0.300	0.02	6.4
77	0.2	-0.20	0.304	0.02	6.4
78	0.2	-0.21	0.308	0.02	6.8
79	0.2	-0.22	0.312	0.02	7.2
80	0.2	-0.23	0.316	0.02	7.4
81	0.2	-0.23	0.320	0.02	7.4
82	0.0	-0.24	0.324	0.00	7.8
