sep=	
pf08lt02

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	0.01	0.000	0.00	-0.2
2	0.0	0.01	0.004	0.00	-0.2
3	0.0	0.01	0.008	0.00	-0.2
4	0.2	0.01	0.012	0.02	-0.2
5	0.0	0.01	0.016	0.00	-0.2
6	0.0	0.01	0.020	0.00	-0.2
7	0.0	0.01	0.024	0.00	-0.2
8	0.0	0.01	0.028	0.00	-0.2
9	0.0	0.01	0.032	0.00	-0.2
10	0.0	0.01	0.036	0.00	-0.2
11	-0.2	0.01	0.040	-0.02	-0.2
12	0.0	0.01	0.044	0.00	-0.2
13	-0.2	0.01	0.048	-0.02	-0.2
14	0.0	0.01	0.052	0.00	-0.2
15	0.0	0.01	0.056	0.00	-0.2
16	0.0	0.01	0.060	0.00	-0.2
17	0.0	0.01	0.064	0.00	-0.2
18	0.0	0.01	0.068	0.00	-0.2
19	0.0	0.01	0.072	0.00	-0.2
20	0.0	0.01	0.076	0.00	-0.2
21	0.0	0.01	0.080	0.00	-0.2
22	0.0	0.01	0.084	0.00	-0.2
23	0.2	0.01	0.088	0.02	-0.2
24	0.0	0.01	0.092	0.00	-0.2
25	0.0	0.01	0.096	0.00	-0.2
26	0.0	0.01	0.100	0.00	-0.2
27	0.2	0.01	0.104	0.02	-0.2
28	0.0	0.01	0.108	0.00	-0.2
29	0.0	0.01	0.112	0.00	-0.2
30	0.2	0.01	0.116	0.02	-0.2
31	0.0	0.01	0.120	0.00	-0.2
32	-0.2	0.01	0.124	-0.02	-0.2
33	-0.2	0.01	0.128	-0.02	-0.2
34	-0.4	0.01	0.132	-0.04	-0.2
35	0.0	0.01	0.136	0.00	-0.2
36	0.0	0.01	0.140	0.00	-0.2
37	0.0	0.01	0.144	0.00	-0.2
38	0.0	0.01	0.148	0.00	-0.2
39	0.0	0.01	0.152	0.00	-0.2
40	0.0	0.01	0.156	0.00	-0.2
41	0.0	0.01	0.160	0.00	-0.2
42	0.2	0.01	0.164	0.02	-0.2
43	0.2	0.01	0.168	0.02	-0.2
44	0.0	0.01	0.172	0.00	-0.2
45	0.0	0.01	0.176	0.00	-0.2
46	0.0	0.01	0.180	0.00	-0.2
47	0.0	0.01	0.184	0.00	-0.2
48	0.2	0.00	0.188	0.02	0.0
49	0.0	0.00	0.192	0.00	0.0
50	0.0	-0.01	0.196	0.00	0.2
51	-0.2	-0.02	0.200	-0.02	0.6
52	0.0	-0.03	0.204	0.00	0.8
53	0.0	-0.03	0.208	0.00	0.8
54	0.0	-0.04	0.212	0.00	1.2
55	0.0	-0.05	0.216	0.00	1.4
56	0.0	-0.05	0.220	0.00	1.4
57	-0.2	-0.06	0.224	-0.02	1.8
58	0.0	-0.07	0.228	0.00	2.0
59	0.0	-0.08	0.232	0.00	2.4
60	0.0	-0.08	0.236	0.00	2.4
61	0.0	-0.09	0.240	0.00	2.6
62	0.0	-0.10	0.244	0.00	3.0
63	0.0	-0.10	0.248	0.00	3.0
64	0.0	-0.11	0.252	0.00	3.2
65	0.0	-0.12	0.256	0.00	3.4
66	-0.2	-0.12	0.260	-0.02	3.4
67	0.0	-0.13	0.264	0.00	3.8
68	-0.2	-0.14	0.268	-0.02	4.0
69	0.2	-0.15	0.272	0.02	4.4
70	0.0	-0.15	0.276	0.00	4.4
71	-0.2	-0.16	0.280	-0.02	4.6
72	0.0	-0.17	0.284	0.00	5.0
73	-0.2	-0.18	0.288	-0.02	5.2
74	0.0	-0.18	0.292	0.00	5.2
75	0.2	-0.19	0.296	0.02	5.6
76	0.0	-0.19	0.300	0.00	5.6
77	0.0	-0.19	0.304	0.00	5.6
78	0.0	-0.20	0.308	0.00	5.8
79	-0.2	-0.21	0.312	-0.02	6.2
80	0.0	-0.21	0.316	0.00	6.2
81	-0.2	-0.22	0.320	-0.02	6.4
82	0.0	-0.23	0.324	0.00	6.6
