sep=	
pf12lt01

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	0.00	0.000	0.00	0.0
2	0.0	0.00	0.004	0.00	0.0
3	0.0	0.00	0.008	0.00	0.0
4	-0.2	0.00	0.012	-0.04	0.0
5	-0.2	0.00	0.016	-0.04	0.0
6	0.0	0.00	0.020	0.00	0.0
7	0.0	0.00	0.024	0.00	0.0
8	0.2	0.00	0.028	0.04	0.0
9	0.0	0.00	0.032	0.00	0.0
10	0.2	0.00	0.036	0.04	0.0
11	0.0	0.00	0.040	0.00	0.0
12	0.0	0.00	0.044	0.00	0.0
13	0.0	0.00	0.048	0.00	0.0
14	0.0	0.00	0.052	0.00	0.0
15	0.0	0.00	0.056	0.00	0.0
16	0.0	0.00	0.060	0.00	0.0
17	0.2	0.00	0.064	0.04	0.0
18	0.0	0.00	0.068	0.00	0.0
19	-0.2	0.00	0.072	-0.04	0.0
20	0.0	0.00	0.076	0.00	0.0
21	0.0	0.00	0.080	0.00	0.0
22	0.0	0.00	0.084	0.00	0.0
23	-0.2	0.00	0.088	-0.04	0.0
24	0.0	0.00	0.092	0.00	0.0
25	0.0	0.00	0.096	0.00	0.0
26	0.0	0.00	0.100	0.00	0.0
27	0.0	0.00	0.104	0.00	0.0
28	0.0	0.00	0.108	0.00	0.0
29	0.0	0.00	0.112	0.00	0.0
30	0.0	0.00	0.116	0.00	0.0
31	0.0	0.00	0.120	0.00	0.0
32	0.0	0.00	0.124	0.00	0.0
33	0.0	0.00	0.128	0.00	0.0
34	0.0	0.00	0.132	0.00	0.0
35	0.0	0.00	0.136	0.00	0.0
36	0.0	0.00	0.140	0.00	0.0
37	0.0	0.00	0.144	0.00	0.0
38	0.0	0.00	0.148	0.00	0.0
39	0.0	0.00	0.152	0.00	0.0
40	-0.2	0.00	0.156	-0.04	0.0
41	0.0	0.00	0.160	0.00	0.0
42	0.0	0.00	0.164	0.00	0.0
43	0.0	0.00	0.168	0.00	0.0
44	0.0	0.00	0.172	0.00	0.0
45	0.0	0.00	0.176	0.00	0.0
46	0.0	0.00	0.180	0.00	0.0
47	0.0	0.00	0.184	0.00	0.0
48	0.0	0.00	0.188	0.00	0.0
49	0.0	-0.01	0.192	0.00	0.4
50	-0.2	-0.02	0.196	-0.04	0.6
51	0.2	-0.03	0.200	0.04	1.0
52	0.2	-0.03	0.204	0.04	1.0
53	0.0	-0.04	0.208	0.00	1.4
54	0.0	-0.05	0.212	0.00	1.8
55	-0.2	-0.05	0.216	-0.04	1.8
56	0.0	-0.06	0.220	0.00	2.0
57	-0.2	-0.07	0.224	-0.04	2.4
58	0.0	-0.08	0.228	0.00	2.8
59	-0.2	-0.08	0.232	-0.04	2.8
60	0.0	-0.09	0.236	0.00	3.2
61	0.0	-0.10	0.240	0.00	3.4
62	-0.2	-0.10	0.244	-0.04	3.4
63	0.0	-0.11	0.248	0.00	3.8
64	0.0	-0.12	0.252	0.00	4.2
65	0.0	-0.12	0.256	0.00	4.2
66	0.0	-0.13	0.260	0.00	4.4
67	-0.2	-0.14	0.264	-0.04	4.8
68	-0.2	-0.15	0.268	-0.04	5.2
69	0.0	-0.15	0.272	0.00	5.2
70	0.0	-0.16	0.276	0.00	5.6
71	0.0	-0.17	0.280	0.00	5.8
72	0.2	-0.17	0.284	0.04	5.8
73	0.0	-0.18	0.288	0.00	6.2
74	0.2	-0.19	0.292	0.04	6.6
75	0.2	-0.19	0.296	0.04	6.6
76	-0.2	-0.20	0.300	-0.04	7.0
77	0.0	-0.21	0.304	0.00	7.2
78	0.0	-0.22	0.308	0.00	7.6
79	0.4	-0.22	0.312	0.06	7.6
80	0.0	-0.23	0.316	0.00	8.0
81	0.0	-0.24	0.320	0.00	8.4
82	0.4	-0.24	0.324	0.06	8.4
83	0.2	-0.25	0.328	0.04	8.6
84	0.0	-0.26	0.332	0.00	9.0
85	0.0	-0.27	0.336	0.00	9.4
86	0.0	-0.26	0.340	0.00	9.0
87	0.0	-0.27	0.344	0.00	9.4
88	0.0	-0.28	0.348	0.00	9.6
89	0.0	-0.28	0.352	0.00	9.6
90	0.0	-0.29	0.356	0.00	10.0
91	0.0	-0.30	0.360	0.00	10.4
92	0.0	-0.30	0.364	0.00	10.4
93	0.0	-0.31	0.368	0.00	10.8
94	0.0	-0.32	0.372	0.00	11.0
95	0.0	-0.33	0.376	0.00	11.4
96	0.0	-0.33	0.380	0.00	11.4
97	0.0	-0.34	0.384	0.00	11.8
98	0.0	-0.35	0.388	0.00	12.2
99	0.0	-0.35	0.392	0.00	12.2
100	-0.2	-0.36	0.396	-0.04	12.4
101	-0.2	-0.37	0.400	-0.04	12.8
102	-0.2	-0.38	0.404	-0.04	13.2
103	0.0	-0.38	0.408	0.00	13.2
104	0.0	-0.39	0.412	0.00	13.4
105	0.0	-0.40	0.416	0.00	13.8
106	0.0	-0.40	0.420	0.00	13.8
107	0.0	-0.41	0.424	0.00	14.2
108	0.0	-0.42	0.428	0.00	14.6
109	0.2	-0.42	0.432	0.04	14.6
110	0.0	-0.43	0.436	0.00	14.8
111	0.0	-0.44	0.440	0.00	15.2
112	0.2	-0.45	0.444	0.04	15.6
113	0.0	-0.45	0.448	0.00	15.6
114	0.0	-0.46	0.452	0.00	16.0
115	-0.2	-0.47	0.456	-0.04	16.2
116	0.0	-0.47	0.460	0.00	16.2
117	0.0	-0.48	0.464	0.00	16.6
118	0.0	-0.49	0.468	0.00	17.0
119	0.0	-0.49	0.472	0.00	17.0
120	0.2	-0.50	0.476	0.04	17.4
121	0.0	-0.51	0.480	0.00	17.6
122	0.0	-0.52	0.484	0.00	18.0
123	0.0	-0.52	0.488	0.00	18.0
124	0.0	-0.53	0.492	0.00	18.4
125	0.0	-0.54	0.496	0.00	18.6
126	0.0	-0.54	0.500	0.00	18.6
127	0.0	-0.55	0.504	0.00	19.0
128	0.0	-0.56	0.508	0.00	19.4
129	0.0	-0.56	0.512	0.00	19.4
130	0.0	-0.57	0.516	0.00	19.8
131	0.0	-0.58	0.520	0.00	20.0
132	0.0	-0.59	0.524	0.00	20.4
133	-0.2	-0.59	0.528	-0.04	20.4
134	0.0	-0.60	0.532	0.00	20.8
135	0.2	-0.61	0.536	0.04	21.2
136	-0.2	-0.61	0.540	-0.04	21.2
137	-0.2	-0.62	0.544	-0.04	21.4
138	0.0	-0.63	0.548	0.00	21.8
139	0.0	-0.63	0.552	0.00	21.8
140	0.0	-0.64	0.556	0.00	22.2
141	0.0	-0.65	0.560	0.00	22.4
142	0.2	-0.66	0.564	0.04	22.8
143	0.0	-0.66	0.568	0.00	22.8
