sep=	
pf20cp04

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.2	0.00	0.000	0.00001	0.0
2	0.4	0.00	0.004	0.00002	0.0
3	0.2	0.00	0.008	0.00001	0.0
4	0.2	0.00	0.012	0.00001	0.0
5	0.2	0.00	0.016	0.00001	0.0
6	0.2	0.00	0.020	0.00001	0.0
7	0.2	0.00	0.024	0.00001	0.0
8	0.2	0.00	0.028	0.00001	0.0
9	0.4	0.00	0.032	0.00002	0.0
10	0.2	0.00	0.036	0.00001	0.0
11	0.2	0.00	0.040	0.00001	0.0
12	0.0	0.00	0.044	0.00000	0.0
13	0.0	0.00	0.048	0.00000	0.0
14	0.2	0.00	0.052	0.00001	0.0
15	0.2	0.00	0.056	0.00001	0.0
16	0.0	0.00	0.060	0.00000	0.0
17	0.2	0.00	0.064	0.00001	0.0
18	0.2	0.00	0.068	0.00001	0.0
19	0.2	0.00	0.072	0.00001	0.0
20	0.2	0.00	0.076	0.00001	0.0
21	0.2	0.00	0.080	0.00001	0.0
22	0.2	0.00	0.084	0.00001	0.0
23	0.4	0.00	0.088	0.00002	0.0
24	0.2	0.00	0.092	0.00001	0.0
25	0.2	0.00	0.096	0.00001	0.0
26	0.2	0.00	0.100	0.00001	0.0
27	0.0	0.00	0.104	0.00000	0.0
28	0.2	0.00	0.108	0.00001	0.0
29	0.2	0.00	0.112	0.00001	0.0
30	0.2	0.00	0.116	0.00001	0.0
31	0.2	0.00	0.120	0.00001	0.0
32	0.2	0.00	0.124	0.00001	0.0
33	0.2	0.00	0.128	0.00001	0.0
34	0.2	0.00	0.132	0.00001	0.0
35	0.2	0.00	0.136	0.00001	0.0
36	0.2	0.00	0.140	0.00001	0.0
37	0.2	0.00	0.144	0.00001	0.0
38	0.2	0.00	0.148	0.00001	0.0
39	0.0	0.00	0.152	0.00000	0.0
