Axial Compression Test-Jun-21-2024-09-38-58-AM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
140,0,-0.65,0.556,0,41
141,0,-0.66,0.56,0,42
142,0.2,-0.66,0.564,0.1,42
143,0,-0.67,0.568,0,42.5
144,0,-0.68,0.572,0,43
145,0,-0.68,0.576,0,43
146,0,-0.69,0.58,0,43.5
147,0,-0.7,0.584,0,44.5
148,0,-0.7,0.588,0,44.5
149,0.2,-0.71,0.592,0.1,45
150,0,-0.72,0.596,0,45.5
151,0,-0.73,0.6,0,46
152,0,-0.73,0.604,0,46
153,-0.2,-0.74,0.608,-0.1,47
154,0,-0.75,0.612,0,47.5
155,0,-0.75,0.616,0,47.5
156,0.2,-0.76,0.62,0.1,48
157,0,-0.77,0.624,0,48.5
158,0,-0.78,0.628,0,49.5
159,0,-0.78,0.632,0,49.5
160,-0.2,-0.79,0.636,-0.1,50
161,0,-0.79,0.64,0,50
162,-0.4,-0.8,0.644,-0.2,50.5
163,0,-0.81,0.648,0,51.5
164,0,-0.82,0.652,0,52
165,0,-0.82,0.656,0,52
166,0,-0.83,0.66,0,52.5
167,0,-0.84,0.664,0,53
168,0,-0.85,0.668,0,54
169,0,-0.85,0.672,0,54
170,0.2,-0.86,0.676,0.1,54.5
171,0.2,-0.86,0.68,0.1,54.5
172,0,-0.87,0.684,0,55
173,0,-0.88,0.688,0,55.5
174,0.2,-0.89,0.692,0.1,56.5
