sep=	
pf13mt01

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.2	0.00	0.000	0.10	0.0
2	0.2	0.00	0.004	0.10	0.0
3	0.2	0.00	0.008	0.10	0.0
4	0.2	0.00	0.012	0.10	0.0
5	0.2	0.00	0.016	0.10	0.0
6	0.2	0.00	0.020	0.10	0.0
7	0.2	0.00	0.024	0.10	0.0
8	0.2	0.00	0.028	0.10	0.0
9	0.2	0.00	0.032	0.10	0.0
10	0.0	0.00	0.036	0.00	0.0
11	0.2	0.00	0.040	0.10	0.0
12	0.2	0.00	0.044	0.10	0.0
13	0.2	0.00	0.048	0.10	0.0
14	0.2	0.00	0.052	0.10	0.0
15	0.2	0.00	0.056	0.10	0.0
16	0.4	0.00	0.060	0.15	0.0
17	0.2	0.00	0.064	0.10	0.0
18	0.4	0.00	0.068	0.15	0.0
19	0.2	0.00	0.072	0.10	0.0
20	0.2	0.00	0.076	0.10	0.0
21	0.2	0.00	0.080	0.10	0.0
22	0.2	0.00	0.084	0.10	0.0
23	0.4	0.00	0.088	0.15	0.0
24	0.2	0.00	0.092	0.10	0.0
25	0.2	0.00	0.096	0.10	0.0
26	0.2	0.00	0.100	0.10	0.0
27	0.2	0.00	0.104	0.10	0.0
28	0.2	0.00	0.108	0.10	0.0
29	0.2	0.00	0.112	0.10	0.0
30	0.0	0.00	0.116	0.00	0.0
31	0.2	0.00	0.120	0.10	0.0
32	0.2	0.00	0.124	0.10	0.0
33	0.2	0.00	0.128	0.10	0.0
34	0.2	0.00	0.132	0.10	0.0
35	0.2	0.00	0.136	0.10	0.0
36	0.4	0.00	0.140	0.15	0.0
37	0.2	0.00	0.144	0.10	0.0
38	0.0	0.00	0.148	0.00	0.0
39	0.2	0.00	0.152	0.10	0.0
40	0.2	0.00	0.156	0.10	0.0
41	0.2	0.00	0.160	0.10	0.0
42	0.2	0.00	0.164	0.10	0.0
43	0.2	0.00	0.168	0.10	0.0
44	0.2	0.00	0.172	0.10	0.0
45	0.0	0.00	0.176	0.00	0.0
46	0.2	0.00	0.180	0.10	0.0
47	0.2	0.00	0.184	0.10	0.0
48	0.2	0.00	0.188	0.10	0.0
49	0.2	-0.01	0.192	0.10	0.5
50	0.2	-0.02	0.196	0.10	1.0
51	0.2	-0.03	0.200	0.10	1.5
52	0.4	-0.03	0.204	0.15	1.5
53	0.2	-0.04	0.208	0.10	2.0
54	0.2	-0.04	0.212	0.10	2.0
55	0.2	-0.05	0.216	0.10	3.0
56	0.2	-0.06	0.220	0.10	3.5
57	0.4	-0.07	0.224	0.15	4.0
58	0.2	-0.07	0.228	0.10	4.0
59	0.0	-0.08	0.232	0.00	4.5
60	0.0	-0.09	0.236	0.00	5.0
61	0.2	-0.09	0.240	0.10	5.0
62	0.2	-0.10	0.244	0.10	5.5
63	0.6	-0.11	0.248	0.25	6.0
64	0.4	-0.12	0.252	0.15	6.5
65	0.2	-0.12	0.256	0.10	6.5
66	0.6	-0.13	0.260	0.25	7.0
67	0.2	-0.14	0.264	0.10	7.5
68	0.2	-0.14	0.268	0.10	7.5
69	0.2	-0.15	0.272	0.10	8.5
70	0.0	-0.16	0.276	0.00	9.0
71	0.0	-0.17	0.280	0.00	9.5
72	0.2	-0.17	0.284	0.10	9.5
73	0.2	-0.18	0.288	0.10	10.0
74	0.2	-0.19	0.292	0.10	10.5
75	0.2	-0.19	0.296	0.10	10.5
76	0.0	-0.20	0.300	0.00	11.0
77	0.4	-0.21	0.304	0.15	11.5
78	0.2	-0.21	0.308	0.10	11.5
79	0.0	-0.22	0.312	0.00	12.0
80	0.2	-0.23	0.316	0.10	12.5
81	0.4	-0.24	0.320	0.15	13.5
82	0.2	-0.24	0.324	0.10	13.5
83	0.2	-0.25	0.328	0.10	14.0
84	0.2	-0.26	0.332	0.10	14.5
85	0.2	-0.26	0.336	0.10	14.5
