sep=	
pf07lt03

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	0.00	0.000	0.0	0.0
2	0.0	0.00	0.004	0.0	0.0
3	0.0	0.00	0.008	0.0	0.0
4	0.0	0.00	0.012	0.0	0.0
5	0.0	0.00	0.016	0.0	0.0
6	0.0	0.00	0.020	0.0	0.0
7	0.0	0.00	0.024	0.0	0.0
8	0.0	0.00	0.028	0.0	0.0
9	0.0	0.00	0.032	0.0	0.0
10	0.0	0.00	0.036	0.0	0.0
11	0.0	0.00	0.040	0.0	0.0
12	0.2	0.00	0.044	0.1	0.0
13	0.2	0.00	0.048	0.1	0.0
14	0.0	0.00	0.052	0.0	0.0
15	0.2	0.00	0.056	0.1	0.0
16	0.2	0.00	0.060	0.1	0.0
17	0.0	0.00	0.064	0.0	0.0
18	-0.2	0.00	0.068	-0.1	0.0
19	-0.2	0.00	0.072	-0.1	0.0
20	0.0	0.00	0.076	0.0	0.0
21	0.0	0.00	0.080	0.0	0.0
22	-0.2	0.00	0.084	-0.1	0.0
23	0.0	0.00	0.088	0.0	0.0
24	0.0	0.00	0.092	0.0	0.0
25	0.0	0.00	0.096	0.0	0.0
26	-0.2	0.00	0.100	-0.1	0.0
27	0.0	0.00	0.104	0.0	0.0
28	0.0	0.00	0.108	0.0	0.0
29	0.0	0.00	0.112	0.0	0.0
30	0.0	0.00	0.116	0.0	0.0
31	0.0	0.00	0.120	0.0	0.0
32	-0.2	0.00	0.124	-0.1	0.0
33	-0.2	0.00	0.128	-0.1	0.0
34	0.0	0.00	0.132	0.0	0.0
35	0.0	0.00	0.136	0.0	0.0
36	0.0	0.00	0.140	0.0	0.0
37	-0.2	0.00	0.144	-0.1	0.0
38	0.0	0.00	0.148	0.0	0.0
39	0.0	0.00	0.152	0.0	0.0
40	0.0	0.00	0.156	0.0	0.0
41	0.0	0.00	0.160	0.0	0.0
42	0.2	0.00	0.164	0.1	0.0
43	0.0	0.00	0.168	0.0	0.0
44	0.0	0.00	0.172	0.0	0.0
45	0.0	0.00	0.176	0.0	0.0
46	0.0	0.00	0.180	0.0	0.0
47	0.0	0.00	0.184	0.0	0.0
48	0.0	0.00	0.188	0.0	0.0
49	-0.2	-0.01	0.192	-0.1	0.5
50	-0.2	-0.02	0.196	-0.1	1.0
51	0.0	-0.02	0.200	0.0	1.0
52	0.0	-0.03	0.204	0.0	1.5
53	0.0	-0.04	0.208	0.0	2.0
54	0.0	-0.04	0.212	0.0	2.0
55	0.2	-0.05	0.216	0.1	2.5
56	0.2	-0.06	0.220	0.1	3.0
57	0.2	-0.07	0.224	0.1	3.5
58	0.0	-0.07	0.228	0.0	3.5
59	0.0	-0.08	0.232	0.0	4.0
60	-0.2	-0.09	0.236	-0.1	4.5
61	-0.2	-0.09	0.240	-0.1	4.5
62	0.0	-0.10	0.244	0.0	5.0
63	0.2	-0.11	0.248	0.1	5.5
64	0.0	-0.11	0.252	0.0	5.5
65	-0.2	-0.12	0.256	-0.1	6.0
66	0.0	-0.13	0.260	0.0	6.5
67	0.2	-0.14	0.264	0.1	7.0
68	0.2	-0.14	0.268	0.1	7.0
69	0.0	-0.15	0.272	0.0	7.5
70	0.2	-0.16	0.276	0.1	8.0
71	0.0	-0.17	0.280	0.0	8.5
72	0.0	-0.17	0.284	0.0	8.5
73	-0.2	-0.18	0.288	-0.1	9.0
74	-0.4	-0.18	0.292	-0.2	9.0
75	0.0	-0.18	0.296	0.0	9.0
76	0.0	-0.19	0.300	0.0	9.5
77	0.0	-0.20	0.304	0.0	10.0
78	0.0	-0.20	0.308	0.0	10.0
79	0.2	-0.21	0.312	0.1	10.5
80	0.0	-0.22	0.316	0.0	11.0
81	0.2	-0.23	0.320	0.1	11.5
82	0.2	-0.23	0.324	0.1	11.5
83	0.0	-0.24	0.328	0.0	12.0
84	0.2	-0.25	0.332	0.1	12.5
85	0.2	-0.25	0.336	0.1	12.5
86	0.0	-0.26	0.340	0.0	13.0
87	-0.2	-0.27	0.344	-0.1	13.5
88	-0.2	-0.27	0.348	-0.1	13.5
89	0.0	-0.28	0.352	0.0	14.0
90	-0.2	-0.29	0.356	-0.1	14.5
91	0.0	-0.30	0.360	0.0	15.0
92	0.0	-0.30	0.364	0.0	15.0
93	-0.2	-0.31	0.368	-0.1	15.5
94	0.0	-0.32	0.372	0.0	16.0
95	0.0	-0.32	0.376	0.0	16.0
96	0.0	-0.33	0.380	0.0	17.0
97	0.0	-0.34	0.384	0.0	17.5
98	-0.2	-0.35	0.388	-0.1	18.0
99	-0.2	-0.35	0.392	-0.1	18.0
100	-0.2	-0.36	0.396	-0.1	18.5
101	0.0	-0.37	0.400	0.0	19.0
102	0.4	-0.37	0.404	0.2	19.0
103	0.0	-0.38	0.408	0.0	19.5
104	0.0	-0.39	0.412	0.0	20.0
105	0.2	-0.39	0.416	0.1	20.0
106	0.4	-0.40	0.420	0.2	20.5
107	0.0	-0.41	0.424	0.0	21.0
108	0.0	-0.42	0.428	0.0	21.5
109	0.0	-0.42	0.432	0.0	21.5
110	0.0	-0.43	0.436	0.0	22.0
111	0.2	-0.44	0.440	0.1	22.5
112	0.0	-0.44	0.444	0.0	22.5
113	0.0	-0.45	0.448	0.0	23.0
114	0.0	-0.46	0.452	0.0	23.5
115	0.0	-0.47	0.456	0.0	24.0
116	0.0	-0.47	0.460	0.0	24.0
117	0.0	-0.48	0.464	0.0	24.5
118	-0.2	-0.49	0.468	-0.1	25.0
119	0.0	-0.49	0.472	0.0	25.0
120	0.2	-0.50	0.476	0.1	25.5
121	0.0	-0.51	0.480	0.0	26.0
122	0.2	-0.51	0.484	0.1	26.0
123	0.0	-0.52	0.488	0.0	26.5
124	0.0	-0.53	0.492	0.0	27.0
125	0.0	-0.53	0.496	0.0	27.0
126	-0.2	-0.54	0.500	-0.1	27.5
127	0.0	-0.55	0.504	0.0	28.0
128	0.0	-0.55	0.508	0.0	28.0
129	0.0	-0.56	0.512	0.0	28.5
130	0.0	-0.57	0.516	0.0	29.0
131	0.0	-0.58	0.520	0.0	29.5
132	0.2	-0.58	0.524	0.1	29.5
133	-0.2	-0.59	0.528	-0.1	30.0
134	-0.2	-0.60	0.532	-0.1	30.5
135	-0.2	-0.60	0.536	-0.1	30.5
136	-0.2	-0.61	0.540	-0.1	31.0
137	0.0	-0.62	0.544	0.0	31.5
138	0.0	-0.63	0.548	0.0	32.0
139	0.0	-0.63	0.552	0.0	32.0
140	0.2	-0.64	0.556	0.1	32.5
141	0.0	-0.65	0.560	0.0	33.0
142	0.2	-0.65	0.564	0.1	33.0
143	0.0	-0.66	0.568	0.0	33.5
144	0.0	-0.67	0.572	0.0	34.0
145	0.0	-0.67	0.576	0.0	34.0
146	0.2	-0.68	0.580	0.1	34.5
147	0.0	-0.69	0.584	0.0	35.0
148	-0.2	-0.70	0.588	-0.1	35.5
149	0.0	-0.70	0.592	0.0	35.5
150	0.2	-0.71	0.596	0.1	36.0
151	0.0	-0.72	0.600	0.0	36.5
152	0.4	-0.72	0.604	0.2	36.5
153	0.2	-0.73	0.608	0.1	37.0
154	0.0	-0.74	0.612	0.0	37.5
155	0.0	-0.74	0.616	0.0	37.5
156	0.0	-0.75	0.620	0.0	38.0
157	0.2	-0.76	0.624	0.1	38.5
158	0.0	-0.77	0.628	0.0	39.0
159	0.0	-0.77	0.632	0.0	39.0
160	0.0	-0.78	0.636	0.0	39.5
161	0.0	-0.79	0.640	0.0	40.0
162	0.0	-0.79	0.644	0.0	40.0
163	0.0	-0.80	0.648	0.0	40.5
164	0.0	-0.81	0.652	0.0	41.0
165	0.4	-0.81	0.656	0.2	41.0
166	0.0	-0.82	0.660	0.0	41.5
167	0.0	-0.83	0.664	0.0	42.0
168	0.0	-0.83	0.668	0.0	42.0
169	0.0	-0.84	0.672	0.0	42.5
170	0.2	-0.85	0.676	0.1	43.0
171	0.0	-0.85	0.680	0.0	43.0
172	-0.2	-0.86	0.684	-0.1	43.5
173	0.0	-0.87	0.688	0.0	44.0
174	0.0	-0.88	0.692	0.0	44.5
175	0.0	-0.88	0.696	0.0	44.5
176	0.0	-0.89	0.700	0.0	45.0
177	0.0	-0.90	0.704	0.0	45.5
178	0.0	-0.90	0.708	0.0	45.5
179	0.0	-0.91	0.712	0.0	46.0
180	0.0	-0.92	0.716	0.0	46.5
181	0.0	-0.93	0.720	0.0	47.0
182	0.0	-0.93	0.724	0.0	47.0
183	0.4	-0.94	0.728	0.2	47.5
184	0.0	-0.95	0.732	0.0	48.0
185	0.0	-0.95	0.736	0.0	48.0
186	0.0	-0.96	0.740	0.0	48.5
187	0.0	-0.97	0.744	0.0	49.0
188	0.0	-0.97	0.748	0.0	49.0
189	-0.2	-0.98	0.752	-0.1	49.5
190	0.0	-0.99	0.756	0.0	50.5
191	0.0	-1.00	0.760	0.0	51.0
192	-0.2	-1.00	0.764	-0.1	51.0
193	-0.2	-1.01	0.768	-0.1	51.5
194	0.0	-1.02	0.772	0.0	52.0
195	0.0	-1.02	0.776	0.0	52.0
196	-0.2	-1.03	0.780	-0.1	52.5
197	-0.2	-1.04	0.784	-0.1	53.0
198	0.2	-1.04	0.788	0.1	53.0
199	0.2	-1.05	0.792	0.1	53.5
200	0.4	-1.06	0.796	0.2	54.0
201	0.0	-1.07	0.800	0.0	54.5
202	0.0	-1.07	0.804	0.0	54.5
203	0.0	-1.08	0.808	0.0	55.0
204	0.0	-1.09	0.812	0.0	55.5
205	-0.2	-1.09	0.816	-0.1	55.5
206	0.0	-1.10	0.820	0.0	56.0
207	0.0	-1.11	0.824	0.0	56.5
208	0.2	-1.11	0.828	0.1	56.5
209	0.0	-1.12	0.832	0.0	57.0
210	0.0	-1.13	0.836	0.0	57.5
211	0.2	-1.13	0.840	0.1	57.5
212	0.0	-1.14	0.844	0.0	58.0
213	0.2	-1.15	0.848	0.1	58.5
214	0.2	-1.15	0.852	0.1	58.5
215	0.4	-1.16	0.856	0.2	59.0
216	0.2	-1.17	0.860	0.1	59.5
217	0.0	-1.19	0.864	0.0	60.5
218	0.0	-1.19	0.868	0.0	60.5
219	0.0	-1.20	0.872	0.0	61.0
220	0.0	-1.21	0.876	0.0	61.5
221	0.0	-1.21	0.880	0.0	61.5
222	-0.2	-1.22	0.884	-0.1	62.0
223	-0.2	-1.23	0.888	-0.1	62.5
224	0.0	-1.24	0.892	0.0	63.0
225	-0.2	-1.24	0.896	-0.1	63.0
226	0.0	-1.25	0.900	0.0	63.5
227	0.0	-1.26	0.904	0.0	64.0
228	0.0	-1.26	0.908	0.0	64.0
229	0.0	-1.27	0.912	0.0	64.5
230	0.0	-1.28	0.916	0.0	65.0
231	0.0	-1.28	0.920	0.0	65.0
232	0.0	-1.29	0.924	0.0	65.5
233	0.4	-1.30	0.928	0.2	66.0
234	0.0	-1.31	0.932	0.0	66.5
235	0.0	-1.31	0.936	0.0	66.5
236	-0.2	-1.32	0.940	-0.1	67.0
237	0.0	-1.33	0.944	0.0	67.5
238	0.2	-1.33	0.948	0.1	67.5
239	0.2	-1.34	0.952	0.1	68.0
240	0.0	-1.35	0.956	0.0	68.5
241	0.2	-1.35	0.960	0.1	68.5
242	0.0	-1.36	0.964	0.0	69.0
243	0.2	-1.37	0.968	0.1	69.5
244	0.0	-1.38	0.972	0.0	70.0
245	0.0	-1.38	0.976	0.0	70.0
246	0.0	-1.39	0.980	0.0	70.5
247	-0.2	-1.40	0.984	-0.1	71.0
248	0.0	-1.40	0.988	0.0	71.0
249	0.0	-1.41	0.992	0.0	71.5
250	0.0	-1.42	0.996	0.0	72.0
251	0.2	-1.42	1.000	0.1	72.0
252	-0.2	-1.43	1.004	-0.1	72.5
253	0.0	-1.44	1.008	0.0	73.0
254	-0.4	-1.45	1.012	-0.2	73.5
255	0.0	-1.45	1.016	0.0	73.5
256	-0.2	-1.46	1.020	-0.1	74.0
257	0.0	-1.47	1.024	0.0	74.5
258	-0.2	-1.47	1.028	-0.1	74.5
259	0.0	-1.48	1.032	0.0	75.0
260	0.0	-1.49	1.036	0.0	75.5
261	0.2	-1.49	1.040	0.1	75.5
262	0.0	-1.50	1.044	0.0	76.0
263	0.0	-1.51	1.048	0.0	76.5
264	0.0	-1.51	1.052	0.0	76.5
265	0.0	-1.52	1.056	0.0	77.0
266	-0.2	-1.53	1.060	-0.1	77.5
267	0.0	-1.54	1.064	0.0	78.0
268	0.0	-1.54	1.068	0.0	78.0
269	0.0	-1.55	1.072	0.0	78.5
270	0.0	-1.56	1.076	0.0	79.0
271	0.0	-1.56	1.080	0.0	79.0
272	0.0	-1.57	1.084	0.0	79.5
273	0.2	-1.58	1.088	0.1	80.0
274	0.0	-1.58	1.092	0.0	80.0
275	0.0	-1.59	1.096	0.0	80.5
276	0.0	-1.60	1.100	0.0	81.0
277	0.0	-1.61	1.104	0.0	81.5
278	0.0	-1.61	1.108	0.0	81.5
279	-0.2	-1.62	1.112	-0.1	82.0
280	0.0	-1.63	1.116	0.0	82.5
281	-0.2	-1.63	1.120	-0.1	82.5
282	-0.4	-1.64	1.124	-0.2	83.0
283	0.0	-1.65	1.128	0.0	84.0
284	0.0	-1.65	1.132	0.0	84.0
285	0.0	-1.66	1.136	0.0	84.5
286	0.0	-1.67	1.140	0.0	85.0
287	0.0	-1.67	1.144	0.0	85.0
288	0.0	-1.68	1.148	0.0	85.5
289	0.6	-1.69	1.152	0.3	86.0
290	-0.2	-1.69	1.156	-0.1	86.0
291	0.0	-1.70	1.160	0.0	86.5
292	0.2	-1.71	1.164	0.1	87.0
293	0.2	-1.72	1.168	0.1	87.5
294	0.4	-1.72	1.172	0.2	87.5
295	0.0	-1.73	1.176	0.0	88.0
296	0.0	-1.74	1.180	0.0	88.5
297	-0.2	-1.74	1.184	-0.1	88.5
298	0.0	-1.75	1.188	0.0	89.0
299	0.2	-1.76	1.192	0.1	89.5
300	0.0	-1.76	1.196	0.0	89.5
301	0.0	-1.77	1.200	0.0	90.0
302	-0.2	-1.78	1.204	-0.1	90.5
303	-0.4	-1.79	1.208	-0.2	91.0
304	0.0	-1.79	1.212	0.0	91.0
305	0.0	-1.80	1.216	0.0	91.5
306	0.0	-1.81	1.220	0.0	92.0
307	0.0	-1.81	1.224	0.0	92.0
308	-0.2	-1.82	1.228	-0.1	92.5
309	0.0	-1.83	1.232	0.0	93.0
310	0.0	-1.83	1.236	0.0	93.0
311	-0.4	-1.84	1.240	-0.2	93.5
312	-0.2	-1.85	1.244	-0.1	94.0
313	0.2	-1.85	1.248	0.1	94.0
314	0.2	-1.86	1.252	0.1	94.5
315	0.2	-1.87	1.256	0.1	95.0
316	0.2	-1.88	1.260	0.1	95.5
317	0.2	-1.88	1.264	0.1	95.5
318	0.0	-1.89	1.268	0.0	96.0
319	0.0	-1.90	1.272	0.0	96.5
320	0.0	-1.90	1.276	0.0	96.5
321	-0.2	-1.91	1.280	-0.1	97.0
322	0.0	-1.92	1.284	0.0	97.5
323	0.2	-1.92	1.288	0.1	97.5
324	-0.2	-1.93	1.292	-0.1	98.0
325	0.0	-1.94	1.296	0.0	98.5
326	0.0	-1.95	1.300	0.0	99.0
327	0.0	-1.95	1.304	0.0	99.0
328	0.4	-1.96	1.308	0.2	99.5
329	0.0	-1.97	1.312	0.0	100.0
330	0.0	-1.97	1.316	0.0	100.0
331	0.2	-1.98	1.320	0.1	100.5
332	0.2	-1.99	1.324	0.1	101.0
333	0.0	-1.99	1.328	0.0	101.0
334	0.0	-2.00	1.332	0.0	101.5
335	0.2	-2.01	1.336	0.1	102.0
336	-0.2	-2.02	1.340	-0.1	102.5
337	0.0	-2.02	1.344	0.0	102.5
338	0.0	-2.03	1.348	0.0	103.0
339	0.0	-2.04	1.352	0.0	103.5
340	0.0	-2.04	1.356	0.0	103.5
341	0.0	-2.05	1.360	0.0	104.0
342	0.0	-2.06	1.364	0.0	104.5
343	0.0	-2.06	1.368	0.0	104.5
344	0.0	-2.07	1.372	0.0	105.0
345	-0.2	-2.08	1.376	-0.1	105.5
346	-0.2	-2.09	1.380	-0.1	106.0
347	0.4	-2.09	1.384	0.2	106.0
348	0.2	-2.10	1.388	0.1	106.5
349	0.0	-2.10	1.392	0.0	106.5
