names,max.slope,inflection.slope,fds.slope,max.strain,inflection.strain,fds.strain,max.score,inflection.score,fds.score,rsquared
pf01CP1,131.8960786125102,131.89593309060967,130.4748691874883,0.078,0.0779,0.0844,0.23558987519500155,0.2356234147861679,0.24999682288899586,0.7365067413453403
pf01CP2,211.7136970193783,165.08644504242704,163.99505895462931,0.19870000000000002,0.0434,0.043000000000000003,0.6980146388118783,0.3139326190318578,0.3072557663025367,0.7720689336852836
pf01CP3,79.32236815357922,79.32225833976187,76.09402569746541,0.038200000000000005,0.0381,0.037700000000000004,0.20014514640296635,0.20023672563749137,0.17744156143850962,0.1763606941468693
pf01CP4,153.55559231764062,153.55544956071464,151.743224239382,0.0541,0.054,0.054200000000000005,0.3430976834112935,0.34418574760699044,0.2912750663007973,0.8406761246419349
pf01LT1,43.27426831529172,43.27426831529172,43.590896471125795,0.08220000000000001,0.08220000000000001,0.08030000000000001,0.3370479272170741,0.3370479272170741,0.3486675272763024,0.432400188838469
pf01MT1,113.61780478466731,95.37786169272385,103.9520443568693,0.1584,0.044500000000000005,0.0761,0.9965577196357499,0.3336185705961947,0.2857341832088173,0.6994535573878502
pf01MT2,235.07926171365443,172.0718126504868,169.35780045275382,0.11330000000000001,0.0533,0.049,0.689785247302622,0.4542391941333159,0.45133314339871866,0.7153633454517304
pf01MT3,139.6838462089082,139.68366699698592,121.79281492244473,0.0688,0.0687,0.0873,0.36832684755669876,0.36918236410617333,0.27326286624175883,0.8730460646091295
pf01UT1,199.78462356231398,191.7661392687973,194.9226045050523,0.1807,0.0438,0.0395,0.7025432012374803,0.4454358055384552,0.40399431065520813,0.8606160364144132
pf01UT2,170.52894921362667,97.82220912329622,146.6796954193684,0.1993,0.0426,0.098,0.5741844050426932,0.4186806945455711,0.29795534396125306,0.6910832057840931
pf01UT3,218.3938787384449,218.39210116171017,225.42977837919386,0.0466,0.0465,0.0442,0.4973769315536403,0.4970941387815708,0.49963225212234647,0.9342204491009175
pf01UT4,147.7936095995798,147.7936095995798,143.5068385147279,0.0574,0.0574,0.053000000000000005,0.28458428367233857,0.28458428367233857,0.27298849261480057,0.7469894678200036
pf02CP1,83.12179352276523,83.12179352276523,82.98519434026636,0.1278,0.1278,0.12710000000000002,0.3348958511500087,0.3348958511500087,0.34309233760123087,0.752278302144144
pf02CP2,189.3509584431561,146.80592046224544,139.95126245364918,0.19540000000000002,0.060500000000000005,0.0637,0.6568298132962652,0.370163828057346,0.37567525360437165,0.8002343305844306
pf02LT1,161.48018597142465,161.4798278107564,155.99315530700542,0.0444,0.0443,0.045000000000000005,0.41997730184198,0.4196922326719874,0.39425816837380306,0.814873020382476
pf02LT2,147.28308220863119,147.2821281091139,137.27870738516066,0.046200000000000005,0.0461,0.0495,0.4670128385361831,0.4667498697234224,0.4161872896520221,0.8349775302869014
pf02LT3,155.55286408581497,155.55286408581497,152.71635147654777,0.0408,0.0408,0.0437,0.43920392286757787,0.43920392286757787,0.4521589858760716,0.7816882749999924
pf02MT1,399.65820940507285,106.2604158055045,101.19258068417346,0.198,0.0455,0.0558,1.3474068656022593,0.5085260557031485,0.5384473788137061,0.6263792083435923
pf02MT2,99.86107722071031,99.86083720123295,97.36379618443112,0.049300000000000004,0.0492,0.0546,0.35310780052612345,0.35288906732612474,0.31493964853119166,0.6720435987437737
pf02MT3,149.8166372811299,149.8166372811299,146.52209729040234,0.0646,0.0646,0.0658,0.22897908581595702,0.22897908581595702,0.1991112717303256,0.8218013509530705
pf02MT4,191.1660967131148,191.1660967131148,187.05282977237118,0.035,0.035,0.032600000000000004,0.5567375788453451,0.5567375788453451,0.5515202724100934,0.8590240338963746
pf02UT1,215.3396351090161,215.3394869929544,176.15816233266654,0.0801,0.08,0.09380000000000001,0.35365664931759266,0.3534543621724894,0.40551604525183715,0.8809621156728998
pf02UT2,197.85134296205712,197.85134296205712,196.0420217089312,0.0703,0.0703,0.06960000000000001,0.3899382561754621,0.3899382561754621,0.3985832505513106,0.811987130065539
pf02UT3,422.8117089311761,12.79159826737056,0.7944475297712015,0.1587,0.015300000000000001,0.0287,0.7880510449656428,0.7561434874017344,23.133977340162723,0.797190724539052
pf02UT4,162.93162710283752,32.439990672475886,156.5995369797432,0.13340000000000002,0.02,0.1318,0.3352249554203397,0.8813652300611658,0.3217424203562987,0.8028406179496842
pf03CP1,172.51099828873896,172.51099828873896,155.00751443891937,0.037000000000000005,0.037000000000000005,0.0373,0.4130381571865195,0.4130381571865195,0.3765734903294393,0.7548709747350202
pf03CP2,180.9417356479487,180.9417356479487,158.6768227844863,0.0487,0.0487,0.0533,0.34330821252970795,0.34330821252970795,0.31948994386681745,0.6667733765360375
pf03CP3,144.1340474855645,144.1340474855645,137.29503009266173,0.037700000000000004,0.037700000000000004,0.041100000000000005,0.2603917231601516,0.2603917231601516,0.26795610159800476,0.6515886396603657
pf03CP4,161.53052281477952,161.53052281477952,145.5389096106874,0.0395,0.0395,0.034300000000000004,0.2272729053323113,0.2272729053323113,0.17480505565390275,0.6317446217860361
pf03LT1,93.0353235908285,93.0353235908285,88.66423839717356,0.0262,0.0262,0.0337,0.3823605598876385,0.3823605598876385,0.38483464191319067,0.696940430174521
pf03LT2,207.9175760982892,59.10818892902562,56.85968372598478,0.18480000000000002,0.038200000000000005,0.038400000000000004,0.8443118769575789,0.42061969743929434,0.4267194455135592,0.6334913855674554
pf03LT3,213.13977659518193,162.67434905060438,145.48882613663966,0.16820000000000002,0.043500000000000004,0.0475,0.7101615367104418,0.5491614058570724,0.5308564152980549,0.8141498175233142
pf03MT1,51.636451451341706,51.636451451341706,44.0639153214222,0.0264,0.0264,0.031,0.4922572092736061,0.4922572092736061,0.6095012169165578,0.7027659948671588
pf03MT2,146.45109071886782,146.45109071886782,143.00684713554313,0.055200000000000006,0.055200000000000006,0.053500000000000006,0.5683253205267979,0.5683253205267979,0.5658320540346923,0.6670886592880924
pf03MT3,90.50041262714313,90.49926258147404,78.6314409843605,0.0189,0.0188,0.020300000000000002,0.35624362685910504,0.35623809763720454,0.25252922610398215,0.4425210181751114
pf03UT1,127.91219751307074,38.3131264271575,108.85170414409998,0.09480000000000001,0.0152,0.1077,0.4422484939840808,0.24634068015500907,0.2804729371006949,0.7136886011809487
pf03UT2,117.19248679249547,35.33636729856449,98.79070261685165,0.0942,0.0149,0.1091,0.4399435710143596,0.24624107436873544,0.26449478426734657,0.714050064911342
pf03UT3,196.30680663729035,196.30680663729035,178.38645051582387,0.0878,0.0878,0.0882,0.19876287694162745,0.19876287694162745,0.15565267362121757,0.675092043441152
pf04CP1,172.02533340620502,172.0252446545472,168.79463765899635,0.0391,0.039,0.0344,0.3643117215329027,0.3642056638256896,0.3504268630047048,0.8731575516698838
pf04CP2,188.04994523329486,188.0498004683673,177.416261379494,0.059300000000000005,0.0592,0.0545,0.44841107325532137,0.4484819033853088,0.4245198720333253,0.9226989315315615
pf04CP3,110.42237789989615,110.42237789989615,106.7861640756359,0.07490000000000001,0.07490000000000001,0.077,0.336601666374935,0.336601666374935,0.3524718282441004,0.7643788582371013
pf04LT1,104.94804006809647,104.94804006809647,98.2799501239414,0.037700000000000004,0.037700000000000004,0.0357,0.5662070143723557,0.5662070143723557,0.5478352087875814,0.7425601243130832
pf04MT1,257.800490021267,155.22829138236278,154.849179848045,0.19870000000000002,0.0482,0.0463,0.6773348089771167,0.5124323186300173,0.49111784048832663,0.8662811302117577
pf04MT2,136.64938953709114,136.64938953709114,135.2870801631377,0.0369,0.0369,0.0324,0.5259480123011895,0.5259480123011895,0.5100245274627845,0.8854119290774572
pf04UT1,96.43719591697908,96.43717744607726,96.719127627025685,0.10780000000000001,0.1077,0.11510000000000001,0.2138705348713702,0.21314270055817428,0.2851954301500557,0.8490190324073428
