names,yield.stress,yield.strain
pf01CP1,8.217744610422363,0.08900000000000001
pf01CP2,7.078620921106006,0.051800000000000006
pf01CP3,2.7410369549706517,0.0396
pf01CP4,11.741162020850684,0.09720000000000001
pf01LT1,2.4234797366105028,0.08460000000000001
pf01MT1,8.520533901636144,0.0999
pf01MT2,6.079142659338484,0.0543
pf01MT3,7.754340772439073,0.0985
pf01UT1,16.73531378136427,0.2632
pf01UT2,22.38591027217964,0.2487
pf01UT3,6.689196072782438,0.0476
pf01UT4,16.670936058553345,0.1685
pf02CP1,5.377642514409182,0.1305
pf02CP2,14.687550445632672,0.196
pf02LT1,11.992417043381062,0.1202
pf02LT2,4.320849577725753,0.0472
pf02LT3,9.65602211290242,0.1019
pf02MT1,7.630457916372553,0.2745
pf02MT2,4.296558802329654,0.0557
pf02MT3,11.859831628773502,0.09720000000000001
pf02MT4,8.981353537991264,0.0834
pf02UT1,17.775617312479465,0.16240000000000002
pf02UT2,12.892021439713574,0.0945
pf02UT3,0.16824122887238613,0.0291
pf02UT4,11.929993674692497,0.1375
pf03CP1,11.500898747919319,0.09960000000000001
pf03CP2,9.422745459611239,0.0584
pf03CP3,8.15068251292169,0.0614
pf03CP4,9.924183753721064,0.0639
pf03LT1,3.0593323963829997,0.035500000000000004
pf03LT2,2.17210941709992,0.0388
pf03LT3,4.416774561781506,0.048100000000000004
pf03MT1,1.957208513381564,0.0281
pf03MT2,5.142835075220958,0.055200000000000006
pf03MT3,1.7844578283950931,0.0195
pf03UT1,4.663944761065934,0.09620000000000001
pf03UT2,4.194783638306442,0.0956
pf03UT3,14.959297626329334,0.1096
pf04CP1,6.722450932070789,0.048
pf04CP2,8.722969066059589,0.0668
pf04CP3,11.52210725623216,0.1845
pf04LT1,2.9872468253893416,0.0381
pf04MT1,14.202126379335658,0.2
pf04MT2,3.9426189236681104,0.0374
pf04UT1,9.330445465487383,0.137
pf04UT2,4.512903432391885,0.1194
pf04UT3,6.455426824548024,0.16190000000000002
pf05CP1,12.191434298199058,0.21560000000000001
pf05CP2,8.484509763076876,0.0655
pf05CP3,7.485785230008083,0.06860000000000001
pf05LT1,5.284900536039953,0.0613
pf05LT2,8.963016841163693,0.07250000000000001
pf05LT3,7.07218222442352,0.0814
pf05MT1,6.013860944352845,0.07
pf05MT2,5.543754912659879,0.048600000000000004
pf05UT1,9.510432679691796,0.0675
pf05UT2,17.767726170278973,0.2874
pf05UT3,NA,NA
pf06CP1,11.072038910166341,0.2793
pf06CP2,5.629496505772903,0.0671
pf06CP3,13.14865096437761,0.126
pf06CP4,6.48473255962805,0.0741
pf06LT1,11.131440340509883,0.1394
pf06LT2,5.075958106828157,0.037700000000000004
