name,max.slope,max.strain,max.score,inflection.slope,inflection.strain,inflection.score,fds.slope,fds.strain,fds.score
PF01CP1,131.8960786125102,0.078,0.23558987519500155,131.89593309060967,0.0779,0.2356234147861679,130.4748691874883,0.0844,0.24999682288899586
PF01CP2,211.7136970193783,0.19870000000000002,0.6980146388118783,165.08644504242704,0.0434,0.3139326190318578,163.99505895462931,0.043000000000000003,0.3072557663025367
PF01CP3,79.32236815357922,0.038200000000000005,0.20014514640296635,79.32225833976187,0.0381,0.20023672563749137,76.09402569746541,0.037700000000000004,0.17744156143850962
PF01CP4,153.55559231764062,0.0541,0.3430976834112935,153.55544956071464,0.054,0.34418574760699044,151.743224239382,0.054200000000000005,0.2912750663007973
PF01LT1,43.27426831529172,0.08220000000000001,0.3370479272170741,43.27426831529172,0.08220000000000001,0.3370479272170741,43.590896471125795,0.08030000000000001,0.3486675272763024
PF01MT1,113.61780478466731,0.1584,0.9965577196357499,95.37786169272385,0.044500000000000005,0.3336185705961947,103.9520443568693,0.0761,0.2857341832088173
PF01MT2,235.07926171365443,0.11330000000000001,0.689785247302622,172.0718126504868,0.0533,0.4542391941333159,169.35780045275382,0.049,0.45133314339871866
PF01MT3,139.6838462089082,0.0688,0.36832684755669876,139.68366699698592,0.0687,0.36918236410617333,121.79281492244473,0.0873,0.27326286624175883
PF01UT1,199.78462356231398,0.1807,0.7025432012374803,191.7661392687973,0.0438,0.4454358055384552,194.9226045050523,0.0395,0.40399431065520813
PF01UT2,170.52894921362667,0.1993,0.5741844050426932,97.82220912329622,0.0426,0.4186806945455711,146.6796954193684,0.098,0.29795534396125306
PF01UT3,218.3938787384449,0.0466,0.4973769315536403,218.39210116171017,0.0465,0.4970941387815708,225.42977837919386,0.0442,0.49963225212234647
PF01UT4,147.7936095995798,0.0574,0.28458428367233857,147.7936095995798,0.0574,0.28458428367233857,143.5068385147279,0.053000000000000005,0.27298849261480057
PF02CP1,83.12179352276523,0.1278,0.3348958511500087,83.12179352276523,0.1278,0.3348958511500087,82.98519434026636,0.12710000000000002,0.34309233760123087
PF02CP2,189.3509584431561,0.19540000000000002,0.6568298132962652,146.80592046224544,0.060500000000000005,0.370163828057346,139.95126245364918,0.0637,0.37567525360437165
PF02LT1,161.48018597142465,0.0444,0.41997730184198,161.4798278107564,0.0443,0.4196922326719874,155.99315530700542,0.045000000000000005,0.39425816837380306
PF02LT2,147.28308220863119,0.046200000000000005,0.4670128385361831,147.2821281091139,0.0461,0.4667498697234224,137.27870738516066,0.0495,0.4161872896520221
PF02LT3,155.55286408581497,0.0408,0.43920392286757787,155.55286408581497,0.0408,0.43920392286757787,152.71635147654777,0.0437,0.4521589858760716
PF02MT1,399.65820940507285,0.198,1.3474068656022593,106.2604158055045,0.0455,0.5085260557031485,101.19258068417346,0.0558,0.5384473788137061
PF02MT2,99.86107722071031,0.049300000000000004,0.35310780052612345,99.86083720123295,0.0492,0.35288906732612474,97.36379618443112,0.0546,0.31493964853119166
PF02MT3,149.8166372811299,0.0646,0.22897908581595702,149.8166372811299,0.0646,0.22897908581595702,146.52209729040234,0.0658,0.1991112717303256
PF02MT4,191.1660967131148,0.035,0.5567375788453451,191.1660967131148,0.035,0.5567375788453451,187.05282977237118,0.032600000000000004,0.5515202724100934
PF02UT1,215.3396351090161,0.0801,0.35365664931759266,215.3394869929544,0.08,0.3534543621724894,176.15816233266654,0.09380000000000001,0.40551604525183715
PF02UT2,197.85134296205712,0.0703,0.3899382561754621,197.85134296205712,0.0703,0.3899382561754621,196.0420217089312,0.06960000000000001,0.3985832505513106
PF02UT3,422.8117089311761,0.1587,0.7880510449656428,12.79159826737056,0.015300000000000001,0.7561434874017344,0.7944475297712015,0.0287,23.133977340162723
PF02UT4,162.93162710283752,0.13340000000000002,0.3352249554203397,32.439990672475886,0.02,0.8813652300611658,156.5995369797432,0.1318,0.3217424203562987
