sep=	
pf10lt01

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	0.00	0.000	0.00	0.0
2	0.0	0.00	0.004	0.00	0.0
3	0.2	0.00	0.008	0.05	0.0
4	0.0	0.00	0.012	0.00	0.0
5	0.0	0.00	0.016	0.00	0.0
6	0.0	0.00	0.020	0.00	0.0
7	0.0	0.00	0.024	0.00	0.0
8	0.0	0.00	0.028	0.00	0.0
9	0.0	0.00	0.032	0.00	0.0
10	-0.2	0.00	0.036	-0.05	0.0
11	0.0	0.00	0.040	0.00	0.0
12	0.2	0.00	0.044	0.05	0.0
13	0.0	0.00	0.048	0.00	0.0
14	0.0	0.00	0.052	0.00	0.0
15	0.0	0.00	0.056	0.00	0.0
16	0.0	0.00	0.060	0.00	0.0
17	0.2	0.00	0.064	0.05	0.0
18	0.0	0.00	0.068	0.00	0.0
19	0.0	0.00	0.072	0.00	0.0
20	0.0	0.00	0.076	0.00	0.0
21	-0.2	0.00	0.080	-0.05	0.0
22	-0.2	0.00	0.084	-0.05	0.0
23	0.0	0.00	0.088	0.00	0.0
24	0.0	0.00	0.092	0.00	0.0
25	0.2	0.00	0.096	0.05	0.0
26	0.0	0.00	0.100	0.00	0.0
27	0.0	0.00	0.104	0.00	0.0
28	0.0	0.00	0.108	0.00	0.0
29	0.0	0.00	0.112	0.00	0.0
30	0.0	0.00	0.116	0.00	0.0
31	0.0	0.00	0.120	0.00	0.0
32	0.0	0.00	0.124	0.00	0.0
33	-0.2	0.00	0.128	-0.05	0.0
34	0.0	0.00	0.132	0.00	0.0
35	0.2	0.00	0.136	0.05	0.0
36	0.0	0.00	0.140	0.00	0.0
37	-0.2	0.00	0.144	-0.05	0.0
38	-0.2	0.00	0.148	-0.05	0.0
39	0.0	0.00	0.152	0.00	0.0
40	0.0	0.00	0.156	0.00	0.0
41	0.2	0.00	0.160	0.05	0.0
42	0.0	0.00	0.164	0.00	0.0
43	0.0	0.00	0.168	0.00	0.0
44	0.0	0.00	0.172	0.00	0.0
45	0.0	0.00	0.176	0.00	0.0
46	0.0	0.00	0.180	0.00	0.0
47	0.0	0.00	0.184	0.00	0.0
48	0.0	0.00	0.188	0.00	0.0
49	0.0	0.00	0.192	0.00	0.0
50	0.0	-0.01	0.196	0.00	0.5
51	0.0	-0.01	0.200	0.00	0.5
52	0.0	-0.02	0.204	0.00	1.0
53	0.0	-0.03	0.208	0.00	1.5
54	0.0	-0.03	0.212	0.00	1.5
55	0.0	-0.04	0.216	0.00	2.0
56	0.0	-0.05	0.220	0.00	2.5
57	0.0	-0.05	0.224	0.00	2.5
58	0.0	-0.06	0.228	0.00	3.0
59	-0.4	-0.07	0.232	-0.10	3.5
60	-0.2	-0.08	0.236	-0.05	4.0
61	0.0	-0.08	0.240	0.00	4.0
62	0.0	-0.09	0.244	0.00	4.5
63	0.0	-0.10	0.248	0.00	5.0
64	0.0	-0.10	0.252	0.00	5.0
65	0.0	-0.11	0.256	0.00	5.5
66	0.0	-0.12	0.260	0.00	6.0
67	0.2	-0.12	0.264	0.05	6.0
68	0.2	-0.13	0.268	0.05	6.5
69	0.0	-0.14	0.272	0.00	7.0
70	0.0	-0.15	0.276	0.00	7.5
71	0.0	-0.15	0.280	0.00	7.5
72	0.0	-0.16	0.284	0.00	8.0
73	-0.2	-0.17	0.288	-0.05	8.5
74	-0.2	-0.17	0.292	-0.05	8.5
75	-0.2	-0.18	0.296	-0.05	9.0
76	0.0	-0.19	0.300	0.00	9.5
77	0.0	-0.19	0.304	0.00	9.5
78	-0.2	-0.20	0.308	-0.05	10.0
79	0.2	-0.21	0.312	0.05	10.5
80	0.0	-0.22	0.316	0.00	11.0
81	0.2	-0.22	0.320	0.05	11.0
82	0.0	-0.23	0.324	0.00	11.5
83	0.0	-0.24	0.328	0.00	12.0
84	-0.2	-0.24	0.332	-0.05	12.0
85	0.0	-0.25	0.336	0.00	12.5
86	0.0	-0.26	0.340	0.00	13.0
87	0.2	-0.27	0.344	0.05	13.5
88	0.0	-0.27	0.348	0.00	13.5
89	0.0	-0.28	0.352	0.00	14.0
90	-0.2	-0.29	0.356	-0.05	14.5
91	0.0	-0.29	0.360	0.00	14.5
92	0.2	-0.30	0.364	0.05	15.0
93	0.0	-0.31	0.368	0.00	15.5
94	-0.2	-0.31	0.372	-0.05	15.5
95	0.0	-0.32	0.376	0.00	16.0
96	0.0	-0.33	0.380	0.00	16.5
97	0.0	-0.34	0.384	0.00	17.0
98	0.2	-0.34	0.388	0.05	17.0
99	0.2	-0.35	0.392	0.05	17.5
100	0.0	-0.36	0.396	0.00	18.0
101	-0.2	-0.36	0.400	-0.05	18.0
102	0.0	-0.37	0.404	0.00	18.5
103	0.0	-0.38	0.408	0.00	19.0
104	0.2	-0.38	0.412	0.05	19.0
105	0.0	-0.39	0.416	0.00	19.5
106	0.2	-0.40	0.420	0.05	20.0
107	0.2	-0.41	0.424	0.05	20.5
108	0.0	-0.41	0.428	0.00	20.5
109	0.0	-0.42	0.432	0.00	21.0
110	0.0	-0.43	0.436	0.00	21.5
111	0.0	-0.43	0.440	0.00	21.5
112	-0.2	-0.44	0.444	-0.05	22.0
113	0.0	-0.45	0.448	0.00	22.5
114	0.0	-0.45	0.452	0.00	22.5
115	0.0	-0.46	0.456	0.00	23.0
116	-0.2	-0.47	0.460	-0.05	23.5
117	0.0	-0.48	0.464	0.00	24.0
118	0.0	-0.48	0.468	0.00	24.0
119	0.0	-0.49	0.472	0.00	24.5
120	-0.2	-0.50	0.476	-0.05	25.0
121	0.0	-0.50	0.480	0.00	25.0
122	0.0	-0.51	0.484	0.00	25.5
123	-0.4	-0.52	0.488	-0.10	26.0
124	0.0	-0.52	0.492	0.00	26.0
125	0.0	-0.53	0.496	0.00	26.5
126	-0.2	-0.54	0.500	-0.05	27.0
127	0.0	-0.54	0.504	0.00	27.0
128	0.0	-0.55	0.508	0.00	27.5
129	0.0	-0.56	0.512	0.00	28.0
130	0.0	-0.57	0.516	0.00	28.5
131	0.2	-0.57	0.520	0.05	28.5
132	0.2	-0.58	0.524	0.05	29.0
133	0.0	-0.59	0.528	0.00	29.5
134	-0.2	-0.59	0.532	-0.05	29.5
135	0.0	-0.60	0.536	0.00	30.0
136	-0.2	-0.61	0.540	-0.05	30.5
137	-0.2	-0.61	0.544	-0.05	30.5
138	-0.2	-0.62	0.548	-0.05	31.0
139	0.2	-0.63	0.552	0.05	31.5
140	0.2	-0.64	0.556	0.05	32.0
141	0.0	-0.64	0.560	0.00	32.0
142	0.0	-0.65	0.564	0.00	32.5
