Axial Compression Test-Jun-21-2024-03-08-46-PM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
639,0,-4.14,2.552,0,224
640,0,-4.15,2.556,0,224.5
641,0,-4.16,2.56,0,225
642,0,-4.16,2.564,0,225
643,0,-4.17,2.568,0,225.5
644,0,-4.18,2.572,0,226
645,0,-4.18,2.576,0,226
646,-0.4,-4.19,2.58,-0.2,226.5
647,0,-4.2,2.584,0,227
648,0,-4.21,2.588,0,227.5
649,0,-4.21,2.592,0,227.5
650,-0.2,-4.22,2.596,-0.1,228
651,0,-4.23,2.6,0,228.5
652,-0.2,-4.23,2.604,-0.1,228.5
653,0,-4.24,2.608,0,229
654,0.2,-4.25,2.612,0.1,229.5
655,0.2,-4.25,2.616,0.1,229.5
656,-0.2,-4.26,2.62,-0.1,230.5
657,-0.2,-4.27,2.624,-0.1,231
658,0,-4.28,2.628,0,231.5
659,0.4,-4.28,2.632,0.2,231.5
660,0,-4.29,2.636,0,232
661,0,-4.3,2.64,0,232.5
662,0,-4.3,2.644,0,232.5
663,0,-4.31,2.648,0,233
664,-0.2,-4.32,2.652,-0.1,233.5
665,0,-4.32,2.656,0,233.5
666,0,-4.33,2.66,0,234
667,0,-4.34,2.664,0,234.5
668,0,-4.35,2.668,0,235
669,0.4,-4.35,2.672,0.2,235
670,0.2,-4.36,2.676,0.1,235.5
671,0,-4.37,2.68,0,236
672,0,-4.38,2.684,0,237
673,0,-4.38,2.688,0,237
674,-0.2,-4.39,2.692,-0.1,237.5
675,0,-4.4,2.696,0,238
676,0,-4.4,2.7,0,238
677,-0.2,-4.41,2.704,-0.1,238.5
678,0.2,-4.42,2.708,0.1,239
679,0.2,-4.42,2.712,0.1,239
680,0.4,-4.43,2.716,0.2,239.5
681,0,-4.44,2.72,0,240
682,0.2,-4.44,2.724,0.1,240
683,0,-4.45,2.728,0,240.5
684,-0.2,-4.46,2.732,-0.1,241
685,0,-4.47,2.736,0,241.5
686,0.2,-4.47,2.74,0.1,241.5
687,0,-4.48,2.744,0,242
688,-0.2,-4.49,2.748,-0.1,242.5
689,0,-4.49,2.752,0,242.5
690,0,-4.5,2.756,0,243
691,0,-4.51,2.76,0,244
692,0.2,-4.52,2.764,0.1,244.5
693,0,-4.52,2.768,0,244.5
694,-0.2,-4.53,2.772,-0.1,245
695,0,-4.54,2.776,0,245.5
696,-0.2,-4.54,2.78,-0.1,245.5
697,0.2,-4.55,2.784,0.1,246
698,0,-4.56,2.788,0,246.5
699,0,-4.57,2.792,0,247
700,0,-4.57,2.796,0,247
701,0,-4.58,2.8,0,247.5
702,0,-4.59,2.804,0,248
703,-0.2,-4.59,2.808,-0.1,248
704,0.2,-4.6,2.812,0.1,248.5
705,0,-4.61,2.816,0,249
706,0,-4.61,2.82,0,249
707,0,-4.62,2.824,0,249.5
708,0,-4.63,2.828,0,250.5
709,0,-4.64,2.832,0,251
710,0,-4.64,2.836,0,251
711,0,-4.65,2.84,0,251.5
712,0.2,-4.66,2.844,0.1,252
713,0,-4.66,2.848,0,252
714,0,-4.67,2.852,0,252.5
715,-0.2,-4.68,2.856,-0.1,253
716,0,-4.69,2.86,0,253.5
717,0,-4.69,2.864,0,253.5
718,0,-4.7,2.868,0,254
719,0.2,-4.71,2.872,0.1,254.5
720,0.2,-4.71,2.876,0.1,254.5
721,0,-4.72,2.88,0,255
722,0,-4.73,2.884,0,255.5
723,0,-4.73,2.888,0,255.5
724,0,-4.74,2.892,0,256
725,0,-4.75,2.896,0,257
726,0,-4.76,2.9,0,257.5
727,0.2,-4.76,2.904,0.1,257.5
728,0,-4.77,2.908,0,258
729,0,-4.78,2.912,0,258.5
730,0,-4.78,2.916,0,258.5
731,0,-4.79,2.92,0,259
732,0,-4.8,2.924,0,259.5
733,0,-4.81,2.928,0,260
734,0,-4.81,2.932,0,260
735,0,-4.82,2.936,0,260.5
736,0,-4.83,2.94,0,261
737,0,-4.83,2.944,0,261
738,0,-4.84,2.948,0,261.5
739,0,-4.85,2.952,0,262
740,0,-4.85,2.956,0,262
741,0,-4.86,2.96,0,262.5
742,0,-4.87,2.964,0,263
743,0,-4.88,2.968,0,264
744,0,-4.88,2.972,0,264
745,0,-4.89,2.976,0,264.5
746,0,-4.9,2.98,0,265
747,-0.2,-4.9,2.984,-0.1,265
748,0,-4.91,2.988,0,265.5
749,0.2,-4.92,2.992,0.1,266
750,0.2,-4.92,2.996,0.1,266
751,0.2,-4.93,3,0.1,266.5
752,0,-4.94,3.004,0,267
753,0.2,-4.95,3.008,0.1,267.5
754,0.2,-4.95,3.012,0.1,267.5
755,0.2,-4.96,3.016,0.1,268
756,0.2,-4.97,3.02,0.1,268.5
757,0.2,-4.97,3.024,0.1,268.5
758,0.2,-4.98,3.028,0.1,269
759,-0.2,-4.99,3.032,-0.1,269.5
760,0,-5,3.036,0,270.5
761,0,-5,3.04,0,270.5
762,0,-5.01,3.044,0,271
763,0,-5.02,3.048,0,271.5
764,0.2,-5.02,3.052,0.1,271.5
765,0,-5.03,3.056,0,272
766,0,-5.04,3.06,0,272.5
767,0,-5.04,3.064,0,272.5
768,-0.2,-5.05,3.068,-0.1,273
769,-0.2,-5.06,3.072,-0.1,273.5
770,0,-5.07,3.076,0,274
771,0,-5.07,3.08,0,274
772,0.2,-5.08,3.084,0.1,274.5
773,0,-5.09,3.088,0,275
774,0,-5.09,3.092,0,275
775,0.2,-5.1,3.096,0.1,275.5
776,0,-5.11,3.1,0,276
777,0,-5.11,3.104,0,276
778,0,-5.12,3.108,0,277
779,0,-5.13,3.112,0,277.5
780,0,-5.14,3.116,0,278
781,0.2,-5.14,3.12,0.1,278
782,0,-5.15,3.124,0,278.5
783,0,-5.16,3.128,0,279
784,-0.2,-5.16,3.132,-0.1,279
785,0,-5.17,3.136,0,279.5
786,-0.2,-5.18,3.14,-0.1,280
787,-0.4,-5.19,3.144,-0.2,280.5
788,0,-5.19,3.148,0,280.5
789,-0.2,-5.2,3.152,-0.1,281
790,0,-5.21,3.156,0,281.5
791,-0.2,-5.21,3.16,-0.1,281.5
792,-0.4,-5.22,3.164,-0.2,282
793,0,-5.23,3.168,0,282.5
794,0,-5.23,3.172,0,282.5
795,0,-5.24,3.176,0,283
796,-0.2,-5.25,3.18,-0.1,284
797,0,-5.26,3.184,0,284.5
798,0,-5.26,3.188,0,284.5
799,-0.2,-5.27,3.192,-0.1,285
800,0,-5.28,3.196,0,285.5
801,0,-5.28,3.2,0,285.5
802,0.2,-5.29,3.204,0.1,286
803,0.2,-5.3,3.208,0.1,286.5
804,0.2,-5.3,3.212,0.1,286.5
805,0,-5.31,3.216,0,287
806,-0.2,-5.32,3.22,-0.1,287.5
807,0,-5.33,3.224,0,288
808,-0.2,-5.33,3.228,-0.1,288
809,0.2,-5.34,3.232,0.1,288.5
810,0,-5.35,3.236,0,289
811,0,-5.35,3.24,0,289
812,0.2,-5.36,3.244,0.1,289.5
813,-0.2,-5.37,3.248,-0.1,290.5
814,0,-5.37,3.252,0,290.5
815,0.2,-5.38,3.256,0.1,291
816,0,-5.39,3.26,0,291.5
817,0,-5.39,3.264,0,291.5
818,0,-5.4,3.268,0,292
819,0,-5.41,3.272,0,292.5
820,0,-5.42,3.276,0,293
821,0,-5.42,3.28,0,293
822,-0.2,-5.43,3.284,-0.1,293.5
823,-0.2,-5.44,3.288,-0.1,294
824,0.2,-5.45,3.292,0.1,294.5
825,0,-5.45,3.296,0,294.5
826,0,-5.46,3.3,0,295
827,-0.2,-5.46,3.304,-0.1,295
828,-0.2,-5.47,3.308,-0.1,295.5
829,-0.6,-5.48,3.312,-0.3,296
830,-0.2,-5.49,3.316,-0.1,297
831,-0.2,-5.49,3.32,-0.1,297
832,-0.2,-5.5,3.324,-0.1,297.5
833,0,-5.51,3.328,0,298
834,0,-5.52,3.332,0,298.5
835,0,-5.52,3.336,0,298.5
836,0,-5.53,3.34,0,299
837,-0.2,-5.54,3.344,-0.1,299.5
838,-0.2,-5.54,3.348,-0.1,299.5
839,-0.2,-5.55,3.352,-0.1,300
840,0,-5.56,3.356,0,300.5
841,0,-5.56,3.36,0,300.5
842,0,-5.57,3.364,0,301
843,0,-5.58,3.368,0,301.5
844,0.2,-5.58,3.372,0.1,301.5
845,0,-5.59,3.376,0,302
846,0,-5.6,3.38,0,302.5
847,0,-5.61,3.384,0,303
848,0.2,-5.61,3.388,0.1,303
849,-0.2,-5.62,3.392,-0.1,304
850,0,-5.63,3.396,0,304.5
851,0,-5.63,3.4,0,304.5
852,-0.4,-5.64,3.404,-0.2,305
853,0,-5.65,3.408,0,305.5
854,0.2,-5.65,3.412,0.1,305.5
855,0,-5.66,3.416,0,306
856,0,-5.67,3.42,0,306.5
857,0,-5.68,3.424,0,307
858,0.2,-5.68,3.428,0.1,307
859,-0.2,-5.69,3.432,-0.1,307.5
860,-0.2,-5.7,3.436,-0.1,308
861,-0.2,-5.7,3.44,-0.1,308
862,-0.4,-5.71,3.444,-0.2,308.5
863,0,-5.72,3.448,0,309
864,0,-5.72,3.452,0,309
865,0,-5.73,3.456,0,309.5
866,0,-5.74,3.46,0,310.5
867,-0.2,-5.75,3.464,-0.1,311
868,-0.4,-5.75,3.468,-0.2,311
869,-0.2,-5.76,3.472,-0.1,311.5
870,0,-5.77,3.476,0,312
871,0,-5.77,3.48,0,312
872,0,-5.78,3.484,0,312.5
873,0,-5.79,3.488,0,313
874,0,-5.79,3.492,0,313
875,0,-5.8,3.496,0,313.5
876,0,-5.81,3.5,0,314
877,0,-5.82,3.504,0,314.5
878,-0.4,-5.82,3.508,-0.2,314.5
879,0.2,-5.83,3.512,0.1,315
880,0.2,-5.84,3.516,0.1,315.5
881,0,-5.84,3.52,0,315.5
882,0,-5.85,3.524,0,316
883,0,-5.86,3.528,0,317
884,0.2,-5.86,3.532,0.1,317
885,0.4,-5.87,3.536,0.2,317.5
886,0,-5.88,3.54,0,318
887,-0.2,-5.88,3.544,-0.1,318
888,0,-5.89,3.548,0,318.5
889,0,-5.9,3.552,0,319
890,0,-5.91,3.556,0,319.5
891,0,-5.91,3.56,0,319.5
892,0,-5.92,3.564,0,320
893,0,-5.93,3.568,0,320.5
894,0,-5.93,3.572,0,320.5
895,0,-5.94,3.576,0,321
896,0,-5.95,3.58,0,321.5
897,0,-5.95,3.584,0,321.5
898,0,-5.96,3.588,0,322
899,-0.2,-5.97,3.592,-0.1,322.5
900,0,-5.98,3.596,0,323
901,0,-5.98,3.6,0,323
902,0,-5.99,3.604,0,324
903,0,-6,3.608,0,324.5
904,0,-6,3.612,0,324.5
905,0,-6.01,3.616,0,325
906,0,-6.02,3.62,0,325.5
907,0,-6.02,3.624,0,325.5
908,0,-6.03,3.628,0,326
909,0,-6.04,3.632,0,326.5
910,-0.4,-6.05,3.636,-0.2,327
911,0,-6.05,3.64,0,327
912,0,-6.06,3.644,0,327.5
913,0,-6.07,3.648,0,328
914,0,-6.07,3.652,0,328
915,0,-6.08,3.656,0,328.5
916,0,-6.09,3.66,0,329
917,0,-6.09,3.664,0,329
918,0,-6.1,3.668,0,329.5
919,0,-6.11,3.672,0,330.5
920,0,-6.11,3.676,0,330.5
921,0.2,-6.12,3.68,0.1,331
922,0.2,-6.13,3.684,0.1,331.5
923,0.2,-6.14,3.688,0.1,332
924,0,-6.14,3.692,0,332
925,0,-6.15,3.696,0,332.5
926,0,-6.16,3.7,0,333
927,0.2,-6.16,3.704,0.1,333
928,0,-6.17,3.708,0,333.5
929,0,-6.18,3.712,0,334
930,0,-6.18,3.716,0,334
931,0,-6.19,3.72,0,334.5
932,0,-6.2,3.724,0,335
933,0,-6.21,3.728,0,335.5
934,0,-6.21,3.732,0,335.5
935,0,-6.22,3.736,0,336
936,0,-6.22,3.74,0,336
937,0.2,-6.22,3.744,0.1,336
938,0,-6.23,3.748,0,337
939,0.2,-6.24,3.752,0.1,337.5
940,0,-6.24,3.756,0,337.5
941,-0.2,-6.25,3.76,-0.1,338
942,0,-6.26,3.764,0,338.5
943,0,-6.27,3.768,0,339
944,0,-6.27,3.772,0,339
945,0,-6.28,3.776,0,339.5
946,0.2,-6.29,3.78,0.1,340
947,0,-6.29,3.784,0,340
948,0,-6.3,3.788,0,340.5
949,0,-6.31,3.792,0,341
950,0,-6.31,3.796,0,341
951,0,-6.32,3.8,0,341.5
952,0,-6.33,3.804,0,342
953,0,-6.33,3.808,0,342
954,0,-6.34,3.812,0,342.5
955,0,-6.35,3.816,0,343
956,0,-6.35,3.82,0,343
957,-0.2,-6.36,3.824,-0.1,344
958,-0.2,-6.37,3.828,-0.1,344.5
959,-0.2,-6.38,3.832,-0.1,345
960,0,-6.38,3.836,0,345
961,-0.2,-6.39,3.84,-0.1,345.5
962,-0.2,-6.4,3.844,-0.1,346
963,0,-6.4,3.848,0,346
964,0,-6.41,3.852,0,346.5
965,0,-6.42,3.856,0,347
966,0,-6.42,3.86,0,347
967,0,-6.43,3.864,0,347.5
968,0,-6.44,3.868,0,348
969,0,-6.45,3.872,0,348.5
970,0,-6.45,3.876,0,348.5
971,0.2,-6.46,3.88,0.1,349
972,0.2,-6.47,3.884,0.1,349.5
973,0,-6.47,3.888,0,349.5
974,0.2,-6.48,3.892,0.1,350.5
975,0,-6.49,3.896,0,351
976,0.4,-6.49,3.9,0.2,351
977,0.2,-6.5,3.904,0.1,351.5
978,0,-6.51,3.908,0,352
979,0,-6.51,3.912,0,352
980,-0.2,-6.52,3.916,-0.1,352.5
981,-0.2,-6.53,3.92,-0.1,353
982,-0.2,-6.54,3.924,-0.1,353.5
983,0,-6.54,3.928,0,353.5
984,-0.2,-6.55,3.932,-0.1,354
985,-0.2,-6.56,3.936,-0.1,354.5
986,-0.2,-6.56,3.94,-0.1,354.5
987,0,-6.57,3.944,0,355
988,0,-6.58,3.948,0,355.5
989,0,-6.58,3.952,0,355.5
990,0,-6.59,3.956,0,356
991,0,-6.6,3.96,0,357
992,0,-6.61,3.964,0,357.5
993,-0.2,-6.61,3.968,-0.1,357.5
994,0,-6.62,3.972,0,358
995,0,-6.63,3.976,0,358.5
996,0,-6.63,3.98,0,358.5
997,-0.2,-6.64,3.984,-0.1,359
998,0,-6.65,3.988,0,359.5
999,0,-6.65,3.992,0,359.5
1000,0.4,-6.66,3.996,0.2,360
1001,0,-6.67,4,0,360.5
1002,0,-6.67,4.004,0,360.5
1003,0,-6.68,4.008,0,361
1004,0,-6.69,4.012,0,361.5
1005,0,-6.69,4.016,0,361.5
1006,0,-6.7,4.02,0,362
1007,0.2,-6.71,4.024,0.1,362.5
1008,0.2,-6.72,4.028,0.1,363
1009,0,-6.72,4.032,0,363
1010,0,-6.73,4.036,0,364
1011,0,-6.74,4.04,0,364.5
1012,0,-6.74,4.044,0,364.5
1013,-0.2,-6.75,4.048,-0.1,365
1014,0.2,-6.76,4.052,0.1,365.5
1015,0,-6.76,4.056,0,365.5
1016,0,-6.77,4.06,0,366
1017,0,-6.78,4.064,0,366.5
1018,0.2,-6.79,4.068,0.1,367
1019,0,-6.79,4.072,0,367
1020,0.2,-6.8,4.076,0.1,367.5
1021,0.2,-6.81,4.08,0.1,368
1022,0,-6.81,4.084,0,368
1023,0,-6.82,4.088,0,368.5
1024,0.2,-6.83,4.092,0.1,369
1025,0.2,-6.83,4.096,0.1,369
1026,0.2,-6.84,4.1,0.1,369.5
1027,0.2,-6.85,4.104,0.1,370.5
1028,0.2,-6.86,4.108,0.1,371
1029,-0.2,-6.86,4.112,-0.1,371
1030,0,-6.87,4.116,0,371.5
1031,0,-6.88,4.12,0,372
1032,0,-6.88,4.124,0,372
1033,0,-6.89,4.128,0,372.5
1034,0.2,-6.9,4.132,0.1,373
1035,0,-6.9,4.136,0,373
1036,0.4,-6.91,4.14,0.2,373.5
1037,0.2,-6.92,4.144,0.1,374
1038,0,-6.92,4.148,0,374
1039,-0.2,-6.93,4.152,-0.1,374.5
1040,-0.2,-6.94,4.156,-0.1,375
1041,0,-6.95,4.16,0,375.5
1042,0,-6.95,4.164,0,375.5
1043,0.2,-6.96,4.168,0.1,376
1044,0,-6.97,4.172,0,377
1045,-0.2,-6.97,4.176,-0.1,377
1046,0.2,-6.98,4.18,0.1,377.5
1047,0.2,-6.99,4.184,0.1,378
1048,0,-6.99,4.188,0,378
1049,0,-7,4.192,0,378.5
1050,0,-7.01,4.196,0,379
1051,0,-7.02,4.2,0,379.5
1052,0,-7.02,4.204,0,379.5
1053,0,-7.03,4.208,0,380
1054,0,-7.04,4.212,0,380.5
1055,0,-7.04,4.216,0,380.5
1056,0.2,-7.05,4.22,0.1,381
1057,0,-7.06,4.224,0,381.5
1058,0,-7.06,4.228,0,381.5
1059,0,-7.07,4.232,0,382
1060,0.2,-7.08,4.236,0.1,382.5
1061,0,-7.08,4.24,0,382.5
1062,0,-7.09,4.244,0,383
1063,-0.2,-7.1,4.248,-0.1,384
1064,-0.2,-7.1,4.252,-0.1,384
1065,0,-7.11,4.256,0,384.5
1066,0,-7.12,4.26,0,385
1067,0,-7.13,4.264,0,385.5
1068,0,-7.13,4.268,0,385.5
1069,0,-7.14,4.272,0,386
1070,-0.2,-7.15,4.276,-0.1,386.5
1071,0,-7.15,4.28,0,386.5
1072,0,-7.16,4.284,0,387
1073,0,-7.17,4.288,0,387.5
1074,0,-7.17,4.292,0,387.5
1075,-0.2,-7.18,4.296,-0.1,388
1076,0,-7.19,4.3,0,388.5
1077,0,-7.2,4.304,0,389
1078,0,-7.2,4.308,0,389
1079,0,-7.21,4.312,0,389.5
1080,0,-7.23,4.316,0,391
1081,0,-7.23,4.32,0,391
1082,-0.2,-7.24,4.324,-0.1,391.5
1083,0,-7.25,4.328,0,392
1084,0,-7.25,4.332,0,392
1085,0,-7.26,4.336,0,392.5
1086,-0.2,-7.27,4.34,-0.1,393
1087,0,-7.28,4.344,0,393.5
1088,0,-7.28,4.348,0,393.5
1089,0,-7.29,4.352,0,394
1090,0.2,-7.3,4.356,0.1,394.5
1091,0,-7.3,4.36,0,394.5
1092,0,-7.31,4.364,0,395
1093,0,-7.32,4.368,0,395.5
1094,0,-7.32,4.372,0,395.5
1095,0.2,-7.33,4.376,0.1,396
1096,-0.2,-7.34,4.38,-0.1,397
1097,-0.2,-7.34,4.384,-0.1,397
1098,0,-7.35,4.388,0,397.5
1099,-0.2,-7.36,4.392,-0.1,398
1100,0,-7.37,4.396,0,398.5
1101,-0.2,-7.37,4.4,-0.1,398.5
1102,-0.2,-7.38,4.404,-0.1,399
1103,-0.2,-7.39,4.408,-0.1,399.5
1104,0,-7.39,4.412,0,399.5
1105,0.2,-7.4,4.416,0.1,400
1106,0.2,-7.41,4.42,0.1,400.5
1107,0,-7.41,4.424,0,400.5
1108,0,-7.42,4.428,0,401
1109,-0.2,-7.43,4.432,-0.1,401.5
1110,-0.4,-7.44,4.436,-0.2,402
1111,0,-7.44,4.44,0,402
1112,0,-7.45,4.444,0,402.5
1113,0,-7.46,4.448,0,403
1114,0,-7.46,4.452,0,403
1115,0.4,-7.47,4.456,0.2,404
1116,0.2,-7.48,4.46,0.1,404.5
1117,0,-7.48,4.464,0,404.5
1118,0,-7.49,4.468,0,405
1119,-0.2,-7.5,4.472,-0.1,405.5
1120,-0.2,-7.51,4.476,-0.1,406
1121,0,-7.51,4.48,0,406
1122,0,-7.52,4.484,0,406.5
1123,0,-7.53,4.488,0,407
1124,0,-7.53,4.492,0,407
1125,0,-7.54,4.496,0,407.5
1126,0,-7.55,4.5,0,408
1127,0,-7.55,4.504,0,408
1128,-0.2,-7.56,4.508,-0.1,408.5
1129,0.2,-7.57,4.512,0.1,409
1130,0,-7.57,4.516,0,409
1131,0,-7.58,4.52,0,409.5
1132,0,-7.59,4.524,0,410.5
1133,0,-7.59,4.528,0,410.5
1134,0,-7.6,4.532,0,411
1135,0,-7.61,4.536,0,411.5
1136,0,-7.62,4.54,0,412
1137,0,-7.62,4.544,0,412
1138,0,-7.63,4.548,0,412.5
1139,0,-7.64,4.552,0,413
1140,-0.2,-7.64,4.556,-0.1,413
1141,0,-7.65,4.56,0,413.5
1142,-0.2,-7.66,4.564,-0.1,414
1143,0.2,-7.67,4.568,0.1,414.5
1144,0,-7.67,4.572,0,414.5
1145,0,-7.68,4.576,0,415
1146,0,-7.69,4.58,0,415.5
1147,0,-7.69,4.584,0,415.5
1148,0,-7.7,4.588,0,416
1149,0,-7.71,4.592,0,417
1150,0,-7.71,4.596,0,417
1151,0,-7.72,4.6,0,417.5
1152,0,-7.73,4.604,0,418
1153,0,-7.73,4.608,0,418
1154,0,-7.74,4.612,0,418.5
1155,0.2,-7.75,4.616,0.1,419
1156,0.2,-7.75,4.62,0.1,419
1157,0,-7.76,4.624,0,419.5
1158,-0.2,-7.77,4.628,-0.1,420
1159,0,-7.78,4.632,0,420.5
1160,0,-7.78,4.636,0,420.5
1161,0,-7.79,4.64,0,421
1162,0,-7.8,4.644,0,421.5
1163,-0.2,-7.8,4.648,-0.1,421.5
1164,-0.2,-7.81,4.652,-0.1,422
1165,0,-7.82,4.656,0,422.5
1166,0.2,-7.82,4.66,0.1,422.5
1167,0,-7.83,4.664,0,423
1168,0,-7.84,4.668,0,424
1169,0,-7.85,4.672,0,424.5
1170,0,-7.85,4.676,0,424.5
1171,0.2,-7.86,4.68,0.1,425
1172,-0.2,-7.87,4.684,-0.1,425.5
1173,0,-7.87,4.688,0,425.5
1174,0,-7.88,4.692,0,426
1175,0,-7.89,4.696,0,426.5
1176,0.2,-7.89,4.7,0.1,426.5
1177,0,-7.9,4.704,0,427
1178,0,-7.91,4.708,0,427.5
1179,0,-7.92,4.712,0,428
1180,0,-7.92,4.716,0,428
1181,0,-7.93,4.72,0,428.5
1182,0,-7.94,4.724,0,429
1183,-0.2,-7.94,4.728,-0.1,429
1184,0,-7.95,4.732,0,429.5
1185,0,-7.96,4.736,0,430.5
1186,0.2,-7.96,4.74,0.1,430.5
1187,0.2,-7.97,4.744,0.1,431
1188,0,-7.98,4.748,0,431.5
1189,-0.2,-7.98,4.752,-0.1,431.5
1190,0,-7.99,4.756,0,432
1191,0.2,-8,4.76,0.1,432.5
1192,0.2,-8.01,4.764,0.1,433
1193,0.2,-8.01,4.768,0.1,433
1194,0,-8.02,4.772,0,433.5
1195,0,-8.03,4.776,0,434
1196,0.2,-8.03,4.78,0.1,434
1197,0.2,-8.04,4.784,0.1,434.5
1198,0.4,-8.05,4.788,0.2,435
1199,0,-8.05,4.792,0,435
1200,0,-8.06,4.796,0,435.5
1201,0,-8.07,4.8,0,436
1202,0,-8.08,4.804,0,437
1203,0,-8.08,4.808,0,437
1204,0,-8.09,4.812,0,437.5
1205,0,-8.1,4.816,0,438
1206,0,-8.1,4.82,0,438
1207,0,-8.11,4.824,0,438.5
1208,-0.2,-8.12,4.828,-0.1,439
1209,-0.2,-8.12,4.832,-0.1,439
1210,0,-8.13,4.836,0,439.5
1211,0,-8.14,4.84,0,440
1212,0,-8.15,4.844,0,440.5
1213,0,-8.15,4.848,0,440.5
1214,0,-8.16,4.852,0,441
1215,0,-8.17,4.856,0,441.5
1216,0,-8.17,4.86,0,441.5
1217,0,-8.18,4.864,0,442
1218,0,-8.19,4.868,0,442.5
1219,0.2,-8.19,4.872,0.1,442.5
1220,0.2,-8.2,4.876,0.1,443
1221,-0.2,-8.21,4.88,-0.1,444
1222,0,-8.22,4.884,0,444.5
1223,0,-8.22,4.888,0,444.5
1224,0,-8.23,4.892,0,445
1225,0.2,-8.24,4.896,0.1,445.5
1226,0,-8.24,4.9,0,445.5
1227,0,-8.25,4.904,0,446
1228,-0.6,-8.26,4.908,-0.3,446.5
1229,-0.4,-8.27,4.912,-0.2,447
1230,0,-8.27,4.916,0,447
1231,-0.2,-8.28,4.92,-0.1,447.5
1232,0,-8.29,4.924,0,448
1233,0,-8.29,4.928,0,448
1234,0,-8.3,4.932,0,448.5
1235,0,-8.31,4.936,0,449
1236,0,-8.31,4.94,0,449
1237,0,-8.32,4.944,0,449.5
1238,0,-8.33,4.948,0,450.5
1239,0,-8.34,4.952,0,451
1240,0,-8.34,4.956,0,451
1241,0,-8.35,4.96,0,451.5
1242,0,-8.36,4.964,0,452
1243,0.2,-8.36,4.968,0.1,452
1244,0.2,-8.37,4.972,0.1,452.5
1245,0,-8.38,4.976,0,453
1246,0,-8.38,4.98,0,453
1247,0.2,-8.39,4.984,0.1,453.5
1248,0,-8.4,4.988,0,454
1249,0,-8.41,4.992,0,454.5
1250,0,-8.41,4.996,0,454.5
1251,0,-8.42,5,0,455
1252,0,-8.43,5.004,0,455.5
1253,0,-8.43,5.008,0,455.5
1254,0,-8.44,5.012,0,456
1255,0,-8.45,5.016,0,457
1256,0.2,-8.45,5.02,0.1,457
1257,0.2,-8.46,5.024,0.1,457.5
1258,-0.2,-8.47,5.028,-0.1,458
1259,0,-8.47,5.032,0,458
1260,0.2,-8.48,5.036,0.1,458.5
1261,0,-8.49,5.04,0,459
1262,0,-8.5,5.044,0,459.5
1263,0,-8.5,5.048,0,459.5
1264,0,-8.51,5.052,0,460
1265,0,-8.52,5.056,0,460.5
1266,-0.2,-8.52,5.06,-0.1,460.5
1267,0.4,-8.53,5.064,0.2,461
1268,0.2,-8.54,5.068,0.1,461.5
1269,0.2,-8.54,5.072,0.1,461.5
1270,-0.2,-8.55,5.076,-0.1,462
1271,0,-8.56,5.08,0,462.5
1272,0,-8.57,5.084,0,463
1273,0,-8.57,5.088,0,463
1274,-0.2,-8.58,5.092,-0.1,464
1275,-0.2,-8.59,5.096,-0.1,464.5
1276,-0.2,-8.59,5.1,-0.1,464.5
1277,-0.2,-8.6,5.104,-0.1,465
1278,-0.2,-8.61,5.108,-0.1,465.5
1279,0,-8.62,5.112,0,466
1280,-0.2,-8.62,5.116,-0.1,466
1281,0,-8.63,5.12,0,466.5
1282,0,-8.64,5.124,0,467
1283,0.2,-8.64,5.128,0.1,467
1284,0.2,-8.65,5.132,0.1,467.5
1285,0,-8.66,5.136,0,468
1286,0,-8.66,5.14,0,468
1287,0,-8.67,5.144,0,468.5
1288,0,-8.68,5.148,0,469
1289,0,-8.69,5.152,0,469.5
1290,-0.2,-8.69,5.156,-0.1,469.5
1291,0,-8.7,5.16,0,470.5
1292,0,-8.71,5.164,0,471
1293,0,-8.71,5.168,0,471
1294,0,-8.72,5.172,0,471.5
1295,0,-8.73,5.176,0,472
1296,0,-8.73,5.18,0,472
1297,-0.2,-8.74,5.184,-0.1,472.5
1298,0,-8.75,5.188,0,473
1299,-0.2,-8.76,5.192,-0.1,473.5
1300,-0.6,-8.76,5.196,-0.3,473.5
1301,0,-8.77,5.2,0,474
1302,0,-8.78,5.204,0,474.5
1303,-0.2,-8.78,5.208,-0.1,474.5
1304,-0.2,-8.79,5.212,-0.1,475
1305,0,-8.8,5.216,0,475.5
1306,0,-8.81,5.22,0,476
1307,-0.2,-8.81,5.224,-0.1,476
1308,-0.2,-8.82,5.228,-0.1,477
1309,-0.2,-8.83,5.232,-0.1,477.5
1310,-0.6,-8.83,5.236,-0.3,477.5
1311,0.2,-8.84,5.24,0.1,478
1312,0.2,-8.85,5.244,0.1,478.5
1313,0,-8.85,5.248,0,478.5
1314,0,-8.86,5.252,0,479
1315,0,-8.87,5.256,0,479.5
